id,name,spawn_command,description,interact_text,pickup_by,ability_granted_name,ability_granted_id,activate_ability_friendly,activate_ability_hostile,allow_friendly_pickup,allow_hostile_pickup,allow_vehicle_carry,created_status_effect,dropped_status_effect_friendly,dropped_status_effect_hostile,first_picked_up_status_effect,interact_string,interaction_time_ms,is_exclusive,localized_description_id,localized_name_id,max_per_character,picked_up_status_effect_friendly,picked_up_status_effect_hostile,pickup_by_interaction,pickup_cooldown,pickup_radius,scope_range,should_track_for_pvp_scoreboard,stopped_moving_status_effect,thrown_pickup_radius,type,visual_group,visual_group_idx,visual_record_id
199,Tissue Sample,\spawn carryable 199,,,touch,,0,0,0,1,0,1,0,0,13517,0,0,500,1,0,903308,1,13516,0,0,250,2,0,0,0,1,1,0,0,19174
200,Poison Vial,\spawn carryable 200,,,touch,,0,0,0,1,0,1,0,0,13543,0,0,500,1,0,903390,1,13542,0,0,250,2,0,0,0,1,1,0,0,17565
201,Relic Container,\spawn carryable 201,,,touch,,0,0,0,1,0,1,0,0,0,0,0,500,1,0,903517,1,13561,0,0,250,2,0,0,0,1,1,0,0,14886
202,Encryption Codes,\spawn carryable 202,Tossable Accord Datapad,,touch,,0,0,0,1,0,1,4085,0,0,0,0,500,1,903602,903601,1,13566,0,0,250,2,0,0,0,0,1,0,0,18792
203,Datacrypt,\spawn carryable 203,,,touch,,0,0,0,1,0,1,0,0,0,0,0,500,1,0,904867,1,13583,0,0,250,2,0,0,0,1,1,0,0,17761
204,Box of Gadgets,\spawn carryable 204,,,touch,,0,0,0,1,0,1,0,0,0,0,0,500,1,0,905171,1,13587,0,0,250,2,0,0,0,1,1,0,0,10392
205,Box of Supplies,\spawn carryable 205,,,touch,,0,0,0,1,0,1,0,0,0,0,0,500,1,0,906133,1,13641,0,0,250,2,0,0,0,1,1,0,0,13754
206,Chosen Implant,\spawn carryable 206,,,touch,,0,0,0,1,0,1,0,0,0,0,0,500,1,0,906417,1,13663,0,0,250,2,0,0,0,1,1,0,0,17821
207,Drone Component,\spawn carryable 207,,,touch,,0,0,0,1,0,1,0,0,0,0,0,500,1,0,906823,1,13688,0,0,250,2,0,0,0,1,1,0,0,20918
208,Datakey,\spawn carryable 208,Tossable Accord Datapad,,touch,,0,0,0,1,0,1,4085,0,0,0,0,500,1,907807,907806,1,13757,0,0,250,2,0,0,0,0,1,0,0,18792
209,Chosen Transmitter,\spawn carryable 209,Tossable Accord Datapad,,touch,,0,0,0,1,0,1,4085,0,0,0,0,500,1,908425,908424,1,13781,0,0,250,2,0,0,0,0,1,0,0,18468
210,Stolen Crystite,\spawn carryable 210,,,touch,,0,0,0,1,0,1,0,0,0,0,0,500,1,0,912193,1,13893,0,0,250,2,0,0,0,1,1,0,0,14886
211,Torque Ring,\spawn carryable 211,,,touch,,0,0,0,1,0,1,0,0,0,0,0,500,1,0,912200,1,13894,0,0,250,2,0,0,0,1,1,0,0,19208
212,Weapons Crate,\spawn carryable 212,,,touch,,0,0,0,1,0,1,0,0,0,0,0,500,1,0,912206,1,13899,0,0,250,2,0,0,0,1,1,0,0,13754
213,Ball,\spawn carryable 213,Prison Recreation Ball,,touch,,0,0,0,1,1,1,0,0,0,0,0,0,1,913499,913498,1,13936,13936,0,1500,2,0,0,0,2,2,0,0,17427
214,Chosen Tech,\spawn carryable 214,,,touch,,0,0,0,1,0,1,0,0,0,0,0,500,1,0,913877,1,13976,0,0,250,2,0,0,0,1,1,0,0,20525
215,SIN Implant,\spawn carryable 215,,,touch,,0,0,0,1,0,1,4085,0,0,0,0,500,1,0,913893,1,13979,0,0,250,2,0,0,0,1,1,0,0,18792
216,Bandit Laundry,\spawn carryable 216,,,touch,,0,0,0,1,0,1,13981,0,0,0,0,500,1,0,913914,1,13980,0,0,250,2,0,0,0,1,1,0,0,17586
217,,\spawn carryable 217,,,touch,,0,0,0,1,0,1,0,0,0,0,0,500,0,0,926204,1,14330,0,0,1000,2,0,0,14329,0,1,0,0,17426
218,,\spawn carryable 218,,,touch,,0,0,0,1,0,1,0,0,0,0,0,500,0,0,926222,1,14334,0,0,1000,2,0,0,14335,0,1,0,0,17426
220,,\spawn carryable 220,,,touch,,0,0,0,1,1,1,12889,0,0,0,0,0,1,0,958978,1,15113,0,0,500,1,0,0,0,1,1,0,0,17682
221,,\spawn carryable 221,,,touch,,0,0,0,1,1,1,15147,0,0,0,0,0,1,0,959083,1,15152,15152,0,1500,2,0,0,0,2,2,0,0,17718
222,,\spawn carryable 222,,,touch,,0,0,0,1,1,1,15148,0,0,0,0,0,1,959086,959085,1,15153,15153,0,1500,2,0,0,0,2,2,0,0,17716
223,,\spawn carryable 223,,,touch,,0,0,0,1,1,1,15149,0,0,0,0,0,1,0,959088,1,15154,15154,0,1500,2,0,0,0,2,2,0,0,17717
224,,\spawn carryable 224,,,touch,,0,0,0,1,1,1,15150,0,0,0,0,0,1,0,959094,1,15156,15156,0,1500,2,0,0,0,2,2,0,0,17717
225,,\spawn carryable 225,,,touch,,0,0,0,1,1,1,15151,0,0,0,0,0,1,0,959096,1,15157,15157,0,1500,2,0,0,0,2,2,0,0,17717
