id,name,spawn_command,category_name,category_description,function_name,function_description,faction,default_faction,interact_text,aim_direction,aim_offset,animnetwork,behavior,build_time_ms,calldown_complete_soundevent,calldown_soundevent,calldownfx_complete_id,calldownfx_id,collision_id,constructed_abilityid,damageresponse,death_abilityid,deployable_category,deployable_level,dialog_script_id,difficulty_cost,flags,function,gameplay_priority_boost,gibset_id,hardpoint_type,hit_abilityid,interact_abilityid,interact_completed_abilityid,interact_height,interact_radius,interact_string,interaction_duration_ms,interaction_type,localized_name_id,loot_table_id,no_drive_zone,powered_off_ability,powered_on_ability,scale,scaling_table_id,scope_range,service_type,service_type_data,spawn_abilityid,standard_health,start_hitpoints,turret_type,vendor_loot_table_id,visual_offset,visualgroup,visualgroup_idx,visualrec,xpreward_mult,xpreward_type
15,,\spawn deployable 15,None,,Undefined,No function defined,accord,1,,"(0, 1, 0)","(0, 0, 0.5)",0,,0,0,0,0,0,189606,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,1.5,1,0,10000,6,12093,0,0,0,0,1,10003,50,0,0,0,0,1,0,0,"(0, 0, 0)",0,0,10116,1,0
16,,\spawn deployable 16,None,,Undefined,No function defined,accord,1,,"(0, 1, 0)","(0, 0, 1)",0,,5000,0,0,0,0,189606,0,4,31309,0,0,0,0,6,0,0,0,0,0,48,0,1.5,1,0,0,8,12094,0,0,0,0,1,10003,200,0,0,0,7.5,1,3,0,"(0, 0, 0)",0,0,10973,1,0
17,,\spawn deployable 17,None,,Undefined,No function defined,accord,1,,"(0, 1, 0)","(0, 0, 1)",0,,0,0,0,0,0,189575,0,4,0,0,0,0,0,39,0,0,0,0,0,0,0,1.5,1,0,0,0,12095,0,0,0,0,1,10003,50,0,0,92,0.125,1,0,0,"(0, 0, 0)",0,0,0,1,0
18,,\spawn deployable 18,None,,Undefined,No function defined,accord,1,,"(0, 1, 0)","(0, 0, 0.75)",0,,0,0,0,0,0,189606,0,4,79,0,0,0,0,39,0,0,0,0,0,0,0,1.5,1,0,0,0,12096,0,0,0,0,1,10003,50,0,0,97,2.5,1,0,0,"(0, 0, 0)",0,0,10997,1,0
19,,\spawn deployable 19,None,,Undefined,No function defined,accord,1,,"(0, 0, 1)","(0, 0, 1)",38594,,13000,0,0,0,148145,189562,111,4,60,0,0,0,0,262,0,0,0,0,0,0,0,1.5,1.1,0,5000,10,12097,0,0,0,0,1,10003,250,0,0,0,37.5,1,0,0,"(0, 0, 0)",0,0,10230,1,0
20,,\spawn deployable 20,None,,Undefined,No function defined,accord,1,,"(0, 1, 0)","(0, 0, 1)",0,,0,0,0,0,0,189606,0,4,109,0,0,0,0,131,0,0,0,0,0,0,0,1.5,1,0,0,0,12098,0,0,0,0,1,10003,50,0,0,108,7.5,1,0,0,"(0, 0, 0)",0,0,10116,1,0
21,,\spawn deployable 21,None,,Undefined,No function defined,accord,1,,"(0, 1, 0)","(0, 0, 1)",0,,0,0,0,0,0,189606,0,4,109,0,0,0,0,130,0,0,0,0,0,0,0,1.5,1,0,0,0,12099,0,0,0,0,1,10003,50,0,0,110,7.5,1,0,0,"(0, 0, 0)",0,0,10116,1,0
22,,\spawn deployable 22,None,,Undefined,No function defined,accord,1,,"(0, 1, 0)","(0, 0, 0.5)",0,,0,0,0,0,0,189565,0,4,0,0,0,0,0,32802,0,0,0,0,0,0,0,1.5,1,0,0,0,12100,0,0,0,0,1,10003,50,0,0,91,0.75,1,0,0,"(0, 0, 0)",0,0,11470,1,0
23,SIN Deployable,\spawn deployable 23,None,,Undefined,No function defined,accord,1,,"(0, 1, 0)","(0, 0, 0.75)",0,,0,0,0,0,0,189606,0,4,60,0,0,0,0,39,0,0,0,0,0,0,0,1.5,1,0,0,0,12101,0,0,0,0,1,10003,50,0,0,129,3.75,1,0,0,"(0, 0, 0)",0,0,11471,1,0
24,,\spawn deployable 24,None,,Undefined,No function defined,accord,1,,"(0, 1, 0)","(0, 0, 0.75)",0,,0,0,0,0,0,189606,0,4,60,0,0,0,0,39,0,0,0,0,0,0,0,1.5,1,0,0,0,12102,0,0,0,0,1,10003,50,0,0,130,7.5,1,0,0,"(0, 0, 0)",0,0,11009,1,0
25,,\spawn deployable 25,None,,Undefined,No function defined,accord,1,,"(0, 1, 0)","(0, 0, 0.75)",0,,0,0,0,0,0,189606,0,4,0,0,0,0,0,39,0,0,0,0,0,0,0,1.5,1,0,0,0,12103,0,0,0,0,1,10003,50,0,0,137,2.5,1,0,0,"(0, 0, 0)",0,0,10997,1,0
26,Forcefield II,\spawn deployable 26,Shield,,Deployed Target,"Not known ahead of time, attacked on sight only.",accord,1,,"(0, 1, 0)","(0, 0, 1)",148028,,0,2218706530,4214524368,0,0,189623,30904,4,31310,2,2,0,0,175,12,0,0,0,138,33811,0,1.5,0.75,0,0,0,12578,0,0,0,0,1,10003,150,0,0,0,6.25,2500,0,0,"(0, 0, 0)",0,0,11484,1,0
27,Repair Station II,\spawn deployable 27,Repair Station,,Healing,Place for an NPC to heal (if friendly),accord,1,,"(0, 1, 0)","(0, 0, 0.75)",0,,5000,2218706530,4214524368,0,0,189606,30316,4,30945,3,2,0,0,1063,13,0,0,0,0,33882,0,1.5,1.1,0,0,0,12575,0,0,0,0,1,10003,50,0,0,104,2.625,700,0,0,"(0, 0, 0)",0,0,11485,1,0
28,,\spawn deployable 28,None,,Undefined,No function defined,accord,1,,"(0, 1, 0)","(0, 0, 0.75)",0,,0,0,0,0,0,189606,0,4,60,0,0,0,0,39,0,0,0,0,0,0,0,1.5,1,0,0,0,12106,0,0,0,0,1,10003,50,0,0,149,7.5,1,0,0,"(0, 0, 0)",0,0,11471,1,0
29,,\spawn deployable 29,None,,Undefined,No function defined,accord,1,,"(0, 1, 0)","(0, 0, 1)",104338,,0,0,0,0,0,189565,0,4,156,0,0,0,0,39,0,0,0,0,0,0,0,1.5,1,0,0,0,12107,0,0,0,0,1,10003,100,0,0,155,2.5,1,0,0,"(0, 0, 0)",0,0,11468,1,0
30,,\spawn deployable 30,None,,Undefined,No function defined,accord,1,,"(0, 1, 0)","(0, 0, 0.5)",0,,0,0,0,0,0,189565,0,4,0,0,0,0,0,39,0,0,0,0,0,0,0,1.5,1,0,0,0,12108,0,0,0,0,1,10003,50,0,0,168,0.75,1,0,0,"(0, 0, 0)",0,0,11470,1,0
31,EMP Mine,\spawn deployable 31,None,,Undefined,No function defined,accord,1,,"(0, 1, 0)","(0, 0, 0.5)",0,,0,0,0,0,0,189565,0,4,0,0,0,0,0,32802,0,0,0,0,0,0,0,1.5,1,0,0,0,12109,0,0,0,0,1,10003,100,0,0,171,0.75,1,0,0,"(0, 0, 0)",0,0,11470,1,0
32,,\spawn deployable 32,None,,Undefined,No function defined,accord,1,,"(0, 1, 0)","(0, 0, 1)",0,,0,0,0,0,0,189606,0,4,0,0,0,0,0,39,0,0,0,0,0,0,0,1.5,1,0,0,0,12110,0,0,0,0,1,10003,50,0,0,172,3.75,1,0,0,"(0, 0, 0)",0,0,11473,1,0
33,,\spawn deployable 33,None,,Undefined,No function defined,accord,1,,"(0, 1, 0)","(0, 0, 0.5)",0,,0,0,0,0,0,189565,0,4,0,0,0,0,0,39,0,0,0,0,0,0,0,1.5,1,0,0,0,12111,0,0,0,0,1,10003,50,0,0,75,0.75,1,0,0,"(0, 0, 0)",0,0,11470,1,0
34,,\spawn deployable 34,None,,Undefined,No function defined,accord,1,,"(0, 1, 0)","(0, 0, 0.5)",0,,0,0,0,0,0,189565,0,4,0,0,0,0,0,38,0,0,0,0,0,0,0,1.5,1,0,0,0,12112,0,0,0,0,1,10003,50,0,0,45,0.75,1,0,0,"(0, 0, 0)",0,0,11470,1,0
35,,\spawn deployable 35,None,,Undefined,No function defined,accord,1,,"(0, 1, 0)","(0, 0, 0.5)",0,,0,0,0,0,0,189565,0,4,0,0,0,0,0,38,0,0,0,0,0,0,0,1.5,1,0,0,0,12113,0,0,0,0,1,10003,50,0,0,185,0.75,1,0,0,"(0, 0, 0)",0,0,11470,1,0
36,,\spawn deployable 36,None,,Undefined,No function defined,accord,1,,"(0, 1, 0)","(0, 0, 0.75)",0,,0,0,0,0,0,189606,0,4,60,0,0,0,0,39,0,0,0,0,0,0,0,1.5,1,0,0,0,12114,0,0,0,0,1,10003,50,0,0,0,3.75,1,0,0,"(0, 0, 0)",0,0,11473,1,0
37,Anti-Vehicular Mine,\spawn deployable 37,None,,Undefined,No function defined,accord,1,,"(0, 1, 0)","(0, 0, 0.5)",0,,0,0,0,0,0,189565,0,4,0,0,0,0,0,39,0,0,0,0,0,0,0,1.5,1,0,0,0,12115,0,0,0,0,1,10003,50,0,0,197,1.5,1,0,0,"(0, 0, 0)",0,0,11470,1,0
39,,\spawn deployable 39,None,,Undefined,No function defined,accord,1,,"(0, 1, 0)","(0, 0, 0.5)",0,,0,0,0,0,0,189606,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,1.5,1,0,0,8,12116,0,0,0,0,1,10003,50,0,0,0,0,1,0,0,"(0, 0, 0)",0,0,10607,1,0
40,,\spawn deployable 40,None,,Undefined,No function defined,accord,1,,"(0, 1, 0)","(0, 0, 1)",0,,0,0,0,0,0,189606,0,4,0,0,0,0,0,128,0,0,0,0,0,0,0,1.5,1,0,0,0,12117,0,0,0,0,1,10003,50,0,0,223,0,1,0,0,"(0, 0, 0)",0,0,10116,1,0
41,,\spawn deployable 41,None,,Undefined,No function defined,accord,1,,"(0, 1, 0)","(0, 0, 0.5)",0,,0,0,0,0,0,189606,0,4,60,0,0,0,0,7,0,0,0,0,0,0,0,1.5,1,0,0,0,12118,0,0,0,0,1,10003,50,0,0,0,7.5,1,0,0,"(0, 0, 0)",0,0,10116,1,0
42,,\spawn deployable 42,None,,Undefined,No function defined,accord,1,,"(0, 1, 0)","(0, 0, 1)",0,,0,0,0,0,0,189606,0,4,109,0,0,0,0,135,0,0,0,0,0,0,0,1.5,1,0,0,0,12119,0,0,0,0,1,10003,50,0,0,108,3.75,1,0,0,"(0, 0, 0)",0,0,10116,1,0
43,,\spawn deployable 43,None,,Undefined,No function defined,accord,1,,"(0, 1, 0)","(0, 0, 1)",0,,0,0,0,0,0,189606,0,4,109,0,0,0,0,134,0,0,0,0,0,0,0,1.5,1,0,0,0,12120,0,0,0,0,1,10003,50,0,0,225,3.75,1,0,0,"(0, 0, 0)",0,0,10116,1,0
44,Battleframe Garage,\spawn deployable 44,Forge,,Undefined,No function defined,accord,1,,"(0, 1, 0)","(0, 0, 0.75)",169914,,0,0,0,0,0,189617,0,4,0,7,0,0,0,32783,0,0,0,0,0,30630,0,1.5,1.2,0,0,8,24810,0,2,34439,34214,1,10003,100,2,0,34010,0,1,0,0,"(0, 0, 0)",0,0,13920,1,0
45,,\spawn deployable 45,None,,Undefined,No function defined,accord,1,,"(0, 1, 0)","(0, 0, 1)",0,,0,0,0,0,0,189601,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1,0,0,0,12121,0,0,0,0,1,10003,150,0,0,0,0,1,0,0,"(0, 0, 0)",0,0,11260,1,0
47,,\spawn deployable 47,None,,Undefined,No function defined,accord,1,,"(0, 1, 0)","(0, 0, 0.75)",0,,0,0,0,0,0,189565,0,5,0,0,0,0,0,167,0,0,0,0,0,30012,0,1.5,1,0,0,8,12122,0,0,0,0,1,10003,100,0,0,30081,1.25,1,0,0,"(0, 0, 0)",0,0,10392,1,0
48,,\spawn deployable 48,None,,Undefined,No function defined,accord,1,,"(0, 1, 0)","(0, 0, 0.75)",0,,0,0,0,0,0,189606,0,4,0,0,0,0,0,39,0,0,0,0,0,0,0,1.5,1,0,0,0,12123,0,0,0,0,1,10003,50,0,0,149,0,1,0,0,"(0, 0, 0)",0,0,11283,1,0
50,,\spawn deployable 50,None,,Undefined,No function defined,accord,1,,"(0, 0, 1)","(0, 0, 0.25)",0,,0,0,0,0,0,189565,0,4,64,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1,0,0,0,12124,0,0,0,0,1,10003,150,0,0,30040,75,1,0,0,"(0, 0, 0)",0,0,10952,1,0
51,,\spawn deployable 51,None,,Undefined,No function defined,accord,1,,"(0, 1, 0)","(0, 0, 0.5)",0,,0,0,0,0,0,189606,0,4,60,0,0,0,0,7,0,0,0,0,0,0,0,1.5,1,0,0,0,12125,0,0,0,0,1,10003,50,0,0,0,15,1,0,0,"(0, 0, 0)",0,0,10116,1,0
52,,\spawn deployable 52,None,,Undefined,No function defined,accord,1,,"(0, 1, 0)","(0, 0, 1)",0,,0,0,0,0,0,189606,0,4,109,0,0,0,0,128,0,0,0,0,0,0,0,1.5,1,0,0,0,12126,0,0,0,0,1,10003,50,0,0,30041,7.5,1,0,0,"(0, 0, 0)",0,0,10116,1,0
54,,\spawn deployable 54,None,,Undefined,No function defined,accord,1,,"(0, 1, 0)","(0, 0, 1)",0,,0,0,0,0,0,189606,0,4,109,0,0,0,0,128,0,0,0,0,0,0,0,1.5,1,0,0,0,12127,0,0,0,0,1,10003,50,0,0,30043,7.5,1,0,0,"(0, 0, 0)",0,0,10116,1,0
55,,\spawn deployable 55,None,,Undefined,No function defined,accord,1,,"(0, 1, 0)","(0, 0, 1)",0,,0,0,0,0,0,189606,0,4,109,0,0,0,0,128,0,0,0,0,0,0,0,1.5,1,0,0,0,12128,0,0,0,0,1,10003,50,0,0,30042,7.5,1,0,0,"(0, 0, 0)",0,0,10116,1,0
56,,\spawn deployable 56,None,,Undefined,No function defined,accord,1,,"(0, 1, 0)","(0, 0, 1)",0,,0,0,0,0,0,189606,0,4,109,0,0,0,0,128,0,0,0,0,0,0,0,1.5,1,0,0,0,12129,0,0,0,0,1,10003,50,0,0,30044,7.5,1,0,0,"(0, 0, 0)",0,0,10116,1,0
57,,\spawn deployable 57,None,,Undefined,No function defined,accord,1,,"(0, 1, 0)","(0, 0, 0.5)",0,,0,0,0,0,0,189606,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,1.5,1,0,0,0,12130,0,0,0,0,1,10003,50,0,0,0,0,1,0,0,"(0, 0, 0)",0,0,10951,1,0
58,,\spawn deployable 58,None,,Undefined,No function defined,accord,1,,"(0, 1, 0)","(0, 0, 1)",0,,0,0,0,0,0,189561,0,5,0,0,0,0,0,10,0,0,0,0,138,0,0,1.5,1,0,0,0,12131,0,0,0,0,1,10003,150,0,0,30060,0,1,0,0,"(0, 0, 0)",0,0,0,1,0
59,,\spawn deployable 59,None,,Undefined,No function defined,accord,1,,"(0, 1, 0)","(0, 0, 1)",0,,0,0,0,0,0,189575,0,4,0,0,0,0,0,128,0,0,0,0,0,0,0,1.5,1,0,0,0,12132,0,0,0,0,1,10003,50,0,0,30062,0.125,1,0,0,"(0, 0, 0)",0,0,0,1,0
60,,\spawn deployable 60,None,,Undefined,No function defined,accord,1,,"(0, 0, 0)","(0, 0, 0)",0,,0,0,0,0,108035,0,0,1,0,0,0,0,0,64,0,0,0,0,0,0,0,1.5,1,0,0,0,12133,0,0,0,0,1,10003,400,0,0,47,0,1,0,0,"(0, 0, 0)",0,0,0,1,0
61,,\spawn deployable 61,None,,Healing,Place for an NPC to heal (if friendly),accord,1,,"(0, 1, 0)","(0, 0, 1)",104338,,0,0,0,0,0,189604,0,4,156,0,0,0,0,39,13,0,0,0,0,0,0,1.5,1,0,0,0,12134,0,0,0,0,1,10003,100,0,0,30078,2.5,1,0,0,"(0, 0, 0)",0,0,10925,1,0
62,,\spawn deployable 62,None,,Undefined,No function defined,accord,1,,"(0, 0, 0)","(0, 0, 0)",0,,0,0,0,0,0,189565,0,1,0,0,0,0,0,38,0,0,0,3,0,0,0,1.5,1,0,0,0,12135,0,0,0,0,1,10003,500,0,0,183,0,1,0,0,"(0, 0, 0)",0,0,10952,1,0
63,,\spawn deployable 63,None,,Undefined,No function defined,accord,1,,"(0, 1, 0)","(0, 0, 0.75)",0,,0,0,0,0,0,189565,0,5,0,0,0,0,0,167,0,0,0,0,0,30084,0,1.5,1,0,0,8,12136,0,0,0,0,1,10003,100,0,0,30082,1.25,1,0,0,"(0, 0, 0)",0,0,11002,1,0
64,,\spawn deployable 64,None,,Undefined,No function defined,accord,1,,"(0, 1, 0)","(0, 0, 0.75)",0,,0,0,0,0,0,189606,0,4,60,0,0,0,0,39,0,0,0,0,0,0,0,1.5,1,0,0,0,12137,0,0,0,0,1,10003,50,0,0,30086,3.75,1,0,0,"(0, 0, 0)",0,0,10970,1,0
65,,\spawn deployable 65,None,,Undefined,No function defined,accord,1,,"(0, 0, 0)","(0, 0, 0)",0,,0,0,0,0,108035,0,0,1,0,0,0,0,0,64,0,0,0,0,0,0,0,1.5,1,0,0,0,12138,0,0,0,0,1,10003,400,0,0,30090,0,1,0,0,"(0, 0, 0)",0,0,0,1,0
66,,\spawn deployable 66,None,,Undefined,No function defined,accord,1,,"(0, 0, 0)","(0, 0, 0)",0,,0,0,0,0,108035,0,0,1,0,0,0,0,0,64,0,0,0,0,0,0,0,1.5,1,0,0,0,12139,0,0,0,0,1,10003,400,0,0,30091,0,1,0,0,"(0, 0, 0)",0,0,0,1,0
67,,\spawn deployable 67,None,,Undefined,No function defined,accord,1,,"(0, 1, 0)","(0, 0, 0.75)",0,,0,0,0,0,108035,189629,0,4,0,0,0,0,0,46,0,0,0,0,0,0,0,1.5,1,0,0,0,12140,0,0,0,0,1,10003,50,0,0,30093,12.5,1,0,0,"(0, 0, 0)",0,0,0,1,0
68,,\spawn deployable 68,None,,Undefined,No function defined,accord,1,,"(0, 1, 0)","(0, 0, 0.5)",0,,0,0,0,0,0,189606,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,1.5,1,0,0,8,12141,0,0,0,0,1,10003,50,0,0,0,0,1,0,0,"(0, 0, 0)",0,0,10495,1,0
69,,\spawn deployable 69,None,,Undefined,No function defined,accord,1,,"(0, 1, 0)","(0, 0, 1)",54284,,0,0,0,0,0,189606,0,4,31309,0,0,0,0,38,0,0,0,0,0,0,0,1.3,1.5,0,0,0,12142,0,0,0,0,1,10003,150,0,0,0,7.5,1,0,0,"(0, 0, 0)",0,0,10665,1,0
77,,\spawn deployable 77,None,,Undefined,No function defined,accord,1,,"(0, 1, 0)","(0, 0, 1)",0,,0,0,0,0,0,189598,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,1.5,3,0,10000,6,12150,0,0,0,0,1,10003,50,0,0,0,0,1,0,0,"(0, 0, 0)",0,0,10379,1,0
78,Directional Mine,\spawn deployable 78,None,,Undefined,No function defined,accord,1,,"(0, 1, 0)","(0, 0, 0.5)",0,,0,0,0,0,0,189565,0,4,0,0,0,0,0,295,0,0,0,0,0,0,0,1.5,1,0,0,0,12151,0,0,0,0,1,10003,50,0,0,30115,0.75,1,0,0,"(0, 0, 0)",0,0,11470,1,0
79,,\spawn deployable 79,None,,Undefined,No function defined,accord,1,,"(0, 0, 0)","(0, 0, 0)",0,,0,0,0,0,0,189575,0,1,0,0,0,0,0,2,0,0,0,0,0,36,0,1,0.5,0,0,0,12152,0,0,0,0,1,10003,50,0,0,0,0,1,0,0,"(0, 0, 0)",0,0,10630,1,0
80,,\spawn deployable 80,None,,Undefined,No function defined,accord,1,,"(0, 1, 0)","(0, 0, 1)",104338,,0,0,0,0,0,189604,0,4,156,0,0,0,0,39,0,0,0,0,0,0,0,1.5,1,0,0,0,12153,0,0,0,0,1,10003,100,0,0,30155,2.5,1,0,0,"(0, 0, 0)",0,0,10925,1,0
81,,\spawn deployable 81,None,,Undefined,No function defined,accord,1,,"(0, 1, 0)","(0, 0, 0.5)",0,,0,0,0,0,0,189598,0,4,60,0,0,0,0,22,0,0,0,0,0,0,0,1.5,1,0,0,0,12154,0,0,0,0,1,10003,100,0,0,0,0.75,1,0,0,"(0, 0, 0)",0,0,10424,1,0
82,,\spawn deployable 82,None,,Undefined,No function defined,accord,1,,"(0, 1, 0)","(0, 0, 0.5)",0,,0,0,0,0,0,189565,0,4,0,0,0,0,0,39,0,0,0,0,0,0,0,1.5,1,0,0,0,12155,0,0,0,0,1,10003,50,0,0,30229,0.75,1,0,0,"(0, 0, 0)",0,0,11470,1,0
83,,\spawn deployable 83,None,,Undefined,No function defined,accord,1,,"(0, 1, 0)","(0, 0, 0.5)",0,,0,0,0,0,0,189565,0,4,0,0,0,0,0,39,0,0,0,0,0,0,0,1.5,1,0,0,0,12156,0,0,0,0,1,10003,50,0,0,30236,0.75,1,0,0,"(0, 0, 0)",0,0,11470,1,0
85,,\spawn deployable 85,None,,Undefined,No function defined,accord,1,,"(0, 1, 0)","(0, 0, 0.5)",0,,0,0,0,0,0,189598,0,4,0,0,0,0,0,22,0,0,0,0,0,0,0,1.5,1,0,0,0,12157,0,0,0,0,1,10003,100,0,0,0,0,1,0,0,"(0, 0, 0)",0,0,10606,1,0
86,,\spawn deployable 86,None,,Undefined,No function defined,accord,1,,"(0, 1, 0)","(0, 0, 0.75)",0,,0,0,0,0,0,189606,0,4,61,0,0,0,0,38,0,0,0,0,0,0,0,1.5,1,0,0,0,12158,0,0,0,0,1,10003,50,0,0,96,2.5,1,0,0,"(0, 0, 0)",0,0,10970,1,0
87,,\spawn deployable 87,None,,Undefined,No function defined,accord,1,,"(0, 1, 0)","(0, 0, 0.75)",0,,0,0,0,0,0,189606,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,1.5,1,0,0,8,12159,0,0,0,0,1,10003,100,0,0,0,0,1,0,0,"(0, 0, 0)",0,0,11473,1,0
88,,\spawn deployable 88,None,,Undefined,No function defined,accord,1,,"(0, 1, 0)","(0, 0, 0.75)",0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1,0,0,0,12160,0,0,0,0,1,10003,50,0,0,93,2.5,1,0,0,"(0, 0, 0)",0,0,0,1,0
89,,\spawn deployable 89,None,,Undefined,No function defined,accord,1,,"(0, 1, 0)","(0, 0, 0.75)",0,,0,0,0,0,0,189606,0,2,30085,0,0,0,0,134,0,0,0,0,0,0,0,1.5,1,0,0,0,12161,0,0,0,0,1,10003,100,0,0,30253,2.5,1000,0,0,"(0, 0, 0)",0,0,10632,1,0
90,,\spawn deployable 90,None,,Undefined,No function defined,accord,1,,"(0, 1, 0)","(0, 0, 1)",54284,,2000,0,0,0,0,189611,30267,4,64,0,0,0,0,1062,0,0,0,0,0,0,0,1.5,1,0,0,0,12162,0,0,0,0,1,10003,150,0,0,30254,1.25,200,0,0,"(0, 0, 0)",0,0,10665,1,0
91,SuppressorBot deployment,\spawn deployable 91,None,,Undefined,No function defined,accord,1,,"(0, 1, 0)","(0, 0, 1)",54284,,5000,0,0,0,0,189611,30277,4,64,0,0,0,0,1062,0,0,0,0,0,0,0,1.5,1,0,0,0,12163,0,0,0,0,1,10003,150,0,0,30276,1.875,200,0,0,"(0, 0, 0)",0,0,11258,1,0
