id,name,spawn_command,weapon_names,weapons,aoe_weapon,attack_type,base_offset,behavior,camera_fov,camera_offset,exit_requested_ability,flags,max_pitch,max_rotation_rate,max_yaw,min_pitch,min_yaw,pitch,posture,visualrec,yaw
25,H.A.W.K. Turret,\spawn turret 25,Jetball Toss Knockback Turret,85429,0,1,"(0, 0, 0)",,90,"(0, -0.5, 0)",34680,1,1.57,2.1,-1,-0.3927,0,-0.3927 .. 1.57,2,0,0 .. -1
26,Heavy Turret II (Rockets),\spawn turret 26,,"85640, 77779",0,1,"(0, 0, 1.3)",,90,"(0, -0.5, 0)",0,1,-1,-1,-1,0,0,0 .. -1,2,0,0 .. -1
27,DEBUG chen's test turret,\spawn turret 27,,85643,0,1,"(0, 0, 1.3)",,90,"(0, -0.5, 0)",0,1,-1,0.523599,-1,0,0,0 .. -1,2,0,0 .. -1
28,Outpost Heavy Turret I,\spawn turret 28,Outpost Heavy Turret Weapon,85731,0,1,"(0, 0, 1.3)",,90,"(0, -0.5, 0)",0,1,-1,1.0472,-1,0,0,0 .. -1,2,0,0 .. -1
128,Chosen Heavy Turret,\spawn turret 128,,92796,0,1,"(0, 0, 0)",,90,"(0, -0.5, 0)",0,1,1.5708,0.9,-1,0.195477,0,0.195477 .. 1.5708,2,0,0 .. -1
129,Chosen Heavy Thumper Turret,\spawn turret 129,,86341,0,1,"(0, 0, 2)",,90,"(0, -0.5, 0)",0,1,1.57,0.802851,-1,-0.17,0,-0.17 .. 1.57,2,0,0 .. -1
130,DiamondHead Warfront Darkslip Mi,\spawn turret 130,DiamondHead Warfront Darkslip MiniTurret,86491,0,1,"(0, 0, 0)",,90,"(0, -0.5, 0)",0,1,0,2.1,-1,-1.57,0,-1.57 .. 0,2,0,0 .. -1
131,DiamondHead Warfront Darkslip Ma,\spawn turret 131,DiamondHead Warfront Darkslip Main Turret,86492,0,1,"(0, 0, -3.69)",,90,"(0, -0.5, 0)",0,1,0,2.1,-1,-1.57,0,-1.57 .. 0,2,0,0 .. -1
132,MGV Miniguns,\spawn turret 132,,30905,0,1,"(0, 0, 1.5)",,90,"(0, -2.2, 0.5)",0,1,0.523599,6.28319,-0.0174533,-0.20944,0,-0.20944 .. 0.523599,5,0,0 .. -0.0174533
133,NPE Precursor Turret,\spawn turret 133,,86508,0,1,"(0, 0, 1.3)",,90,"(0, -0.5, 0)",0,1,-1,-1,-1,0,0,0 .. -1,2,0,0 .. -1
134,LGV 1x Minigun,\spawn turret 134,,95145,0,1,"(0, 0, 0)",,90,"(0, 0, 0)",0,1,0.349066,0,0.523599,-0.698132,-0.523599,-0.698132 .. 0.349066,2,0,-0.523599 .. 0.523599
135,LGV missiles,\spawn turret 135,,96473,0,1,"(0.8, 0, 0)",,90,"(0, -2, 0.5)",0,1,0,0,0,0,0,0 .. 0,2,0,0 .. 0
136,Accord BattleCruiser MiniTurret,\spawn turret 136,Accord Battlecruiser MiniTurret,86534,0,1,"(0, 0, 0)",,90,"(0, -0.5, 0)",0,1,0.872665,2.1,-1,-0.872665,0,-0.872665 .. 0.872665,2,0,0 .. -1
137,Accord Battlecruiser LargeTurret,\spawn turret 137,,86533,0,1,"(0, 0, -3.69)",,90,"(0, -0.5, 0)",0,1,1.5708,2.1,-1,0,0,0 .. 1.5708,2,0,0 .. -1
138,LGV Machine Gun,\spawn turret 138,,95145,0,1,"(0, 0, 0)",,90,"(0, -2, 0.5)",0,1,0.122173,6.28319,0.785398,-0.122173,-0.785398,-0.122173 .. 0.122173,0,0,-0.785398 .. 0.785398
139,Deprecated - Please Reuse This I,\spawn turret 139,,,0,1,"(0, 0, 0)",,90,"(0, -2, 0.5)",0,1,0.174533,6.28319,0.785398,0.0174533,-0.785398,0.0174533 .. 0.174533,0,0,-0.785398 .. 0.785398
140,Omnidyn-m Heavy Turret,\spawn turret 140,Omnidyne Heavy Turret Gun,96716,0,1,"(0, 0, 1.3)",,90,"(0, -0.5, 0)",0,1,-1,-1,-1,0,0,0 .. -1,2,0,0 .. -1
141,Chosen Heavy Turret 2 - Thumper,\spawn turret 141,,114621,0,1,"(0, 0, 0)",,90,"(0, -0.5, 0)",0,1,1.5708,0.9,-1,0.195477,0,0.195477 .. 1.5708,2,0,0 .. -1
142,Heavy Turret I (Rocket),\spawn turret 142,,117720,0,1,"(0, 0, 1.3)",,90,"(0, -0.5, 0)",0,1,-1,-1,-1,0,0,0 .. -1,2,0,0 .. -1
143,Bloodkings Turret,\spawn turret 143,Bloodkings Turret - Weapon,118138,0,1,"(0, 0, 1.3)",,90,"(0, -0.5, 0)",0,1,-1,-1,-1,0,0,0 .. -1,2,0,0 .. -1
144,Operation Mounted Turret 01,\spawn turret 144,,118602,0,1,"(0, 0, 0)",,90,"(0, -0.5, 0)",34680,1,1.5708,2.23402,-1,-0.610865,0,-0.610865 .. 1.5708,2,0,0 .. -1
145,Operation Mining Turret,\spawn turret 145,,118688,0,1,"(0, 0, 2)",,90,"(0, -0.5, 0.15)",34680,1,0.959934,3.14159,2.18166,-0.698132,-2.18166,-0.698132 .. 0.959934,2,0,-2.18166 .. 2.18166
146,Chosen Mortar,\spawn turret 146,,118768,0,1,"(0, 0, 10)",,60,"(0, -5, 0.2)",0,1,0.959931,0,0,0.610865,0,0.610865 .. 0.959931,0,0,0 .. 0
147,[OWPVP] Anti Personnel Turret,\spawn turret 147,,77779,0,1,"(0, 0, 1.3)",,90,"(0, -0.5, 0)",0,1,6.28319,6.28319,6.28319,0,-6.28319,0 .. 6.28319,2,0,-6.28319 .. 6.28319
148,[OWPVP] Anti Air EMP Turret,\spawn turret 148,,118952,0,1,"(0, 0, 1.3)",,90,"(0, -0.5, 0)",0,1,-1,-1,-1,0,0,0 .. -1,2,0,0 .. -1
149,[OWPVP] Anti Vehicle Turret,\spawn turret 149,,118947,0,1,"(0, 0, 1.3)",,90,"(0, -0.5, 0)",0,1,-1,-1,-1,0,0,0 .. -1,2,0,0 .. -1
150,TEST Chosen Transport Gun,\spawn turret 150,,114621,0,1,"(0, 0, 0)",,60,"(0, 0, 0)",0,1,0.174533,0,0,0.0872665,0,0.0872665 .. 0.174533,0,0,0 .. 0
151,Chosen Warzone Mounted Turret,\spawn turret 151,,119908,0,1,"(0, 0, 0)",,100,"(0, 0, 0.5)",34680,1,1.57,2.1,-1,-0.698132,0,-0.698132 .. 1.57,2,0,0 .. -1
152,NotBeingUsed,\spawn turret 152,,,0,1,"(0, 0, 0)",,90,"(0, -0.5, 0)",34680,1,1.57,1.5,-1,0.195,0,0.195 .. 1.57,2,0,0 .. -1
153,Operation Beam Turret,\spawn turret 153,,120507,0,1,"(0, 0, 2)",,90,"(0, -0.5, 0.15)",34680,1,0.959934,3.14159,2.18166,-0.698132,-2.18166,-0.698132 .. 0.959934,2,0,-2.18166 .. 2.18166
154,Chosen Warzone Chosen Turret,\spawn turret 154,,120565,0,1,"(0, 0, 0)",,100,"(0, 0, 0.5)",34680,1,1.57,2.1,-1,-0.698132,0,-0.698132 .. 1.57,2,0,0 .. -1
155,Chosen Turret Core Mission 3,\spawn turret 155,Chosen Heavy Personel Turret Core Mission 3,120692,0,1,"(0, 0, 0)",,90,"(0, -0.5, 0)",0,1,1.5708,0.872665,-1.00007,-0.392699,0,-0.392699 .. 1.5708,2,0,0 .. -1.00007
156,Tower Defense Tech Flamethrower,\spawn turret 156,,120971,0,1,"(0, 0, 1.5)",,90,"(0, -0.5, 0)",0,1,6.28319,-1,6.28319,0,0,0 .. 6.28319,2,0,0 .. 6.28319
157,Tower Defense Tech AA Rocket Tur,\spawn turret 157,,120975,0,1,"(0, 0, 0)",,90,"(0, -0.5, 0)",0,1,-1.309,-1,-1.00007,0,0,0 .. -1.309,2,0,0 .. -1.00007
158,Tower Defense Tech Sniper Turret,\spawn turret 158,,123206,0,1,"(0, 0, 1.5)",,90,"(0, -0.5, 0)",0,1,6.28319,-1,6.28319,0,0,0 .. 6.28319,2,0,0 .. 6.28319
159,Tower Defense Chemical Sprayer T,\spawn turret 159,,120994,0,1,"(0, 0, 1.5)",,90,"(0, -0.5, 0)",0,1,6.28319,-1,6.28319,0,0,0 .. 6.28319,2,0,0 .. 6.28319
160,[OWPVP] Anti Vehicle Turret Upgr,\spawn turret 160,,,0,1,"(0, 0, 1.3)",,90,"(0, -0.5, 0)",0,1,-1,-1,-1,0,0,0 .. -1,2,0,0 .. -1
161,[OWPVP] Anti Personnel Turret U,\spawn turret 161,,,0,0,"(0, 0, 0)",,0,"(0, 0, 0)",0,0,-1,0,-1,0,0,0 .. -1,2,0,0 .. -1
162,Heavy Chosen Pillar Turret,\spawn turret 162,,122560,0,1,"(0, 0, 0)",,90,"(0, -0.5, 0)",0,1,1.57,0.9,-1.00007,-0.17,0,-0.17 .. 1.57,2,0,0 .. -1.00007
163,Heavy Chosen Watchtower Turret,\spawn turret 163,,122560,0,1,"(0, 0, 2)",,90,"(0, -0.5, 0)",0,1,1.57,0.9,-1,-0.17,0,-0.17 .. 1.57,2,0,0 .. -1
164,Reaper Manable Turret,\spawn turret 164,Engineer Super Turret,78011,0,1,"(0, 0, 2)",,90,"(0, -0.5, 0.15)",34680,1,0.959934,0.733038,2.18166,-0.610865,-2.18166,-0.610865 .. 0.959934,2,0,-2.18166 .. 2.18166
165,Crystite Aranha Turret,\spawn turret 165,Crystite Aranha Crystal Weapon,122891,0,1,"(0, 0, 5)",,90,"(0, 0, 0)",0,1,1.5708,0.9,0,-1.5708,0,-1.5708 .. 1.5708,2,0,0 .. 0
166,Sniper Mounted Turret 01,\spawn turret 166,,114057,0,1,"(0, 0, 0)",,90,"(0, 50, 0)",39418,1,1.5708,2.23402,-1.00007,-0.610865,0,-0.610865 .. 1.5708,2,0,0 .. -1.00007
167,Tower Defense Tech Riot Cryo Tur,\spawn turret 167,,122962,0,1,"(0, 0, 1.5)",,90,"(0, -0.5, 0)",0,1,6.28319,-1,6.28319,0,0,0 .. 6.28319,2,0,0 .. 6.28319
168,NPE - Mushroom Rock Turret,\spawn turret 168,,123415,0,1,"(0, 0, 2)",,90,"(0, -0.5, 0)",0,1,1.57,0.9,-1,-0.17,0,-0.17 .. 1.57,2,0,0 .. -1
169,[UNUSED],\spawn turret 169,Shared Human Turret Weapon,123443,0,1,"(0, 0, 1.3)",,90,"(0, -0.5, 0)",0,1,-1,1.0472,-1,0,0,0 .. -1,2,0,0 .. -1
170,Heavy Turret,\spawn turret 170,Shared Human Turret Weapon,123443,0,1,"(0, 0, 1.3)",,90,"(0, -0.5, 0)",0,1,-1,3.75246,-1,0,0,0 .. -1,2,0,0 .. -1
171,Chosen Heavy Turret,\spawn turret 171,Chosen Heavy Turret Weapon,123445,0,1,"(0, 0, 1.3)",,90,"(0, -0.5, 0)",0,1,-1.00007,3.75246,-1.00007,0,0,0 .. -1.00007,2,0,0 .. -1.00007
172,CM5 Engineer Turret - I,\spawn turret 172,,123446,0,1,"(0, 0, 1.3)",,90,"(0, -0.5, 0)",0,1,-1,-1.00007,-1.00007,0,0,0 .. -1,2,0,0 .. -1.00007
173,Chosen Light Turret,\spawn turret 173,Chosen Light Turret Weapon,123448,0,1,"(0, 0, 2)",,90,"(0, -0.5, 0)",0,1,1.57,0.802851,-1,-0.17,0,-0.17 .. 1.57,2,0,0 .. -1
174,Tower Defense Heavy Turret,\spawn turret 174,,124322,0,1,"(0, 0, 1.3)",,90,"(0, -0.5, 0)",0,1,-1,0.872665,-1,0,0,0 .. -1,2,0,0 .. -1
175,Sniper Turret (Engi Ability),\spawn turret 175,,124494,0,1,"(0, 0, 1.3)",,90,"(0, -0.5, 0)",0,1,-1,-1,-1,0,0,0 .. -1,2,0,0 .. -1
176,Operation 002 - Reaper Gunship M,\spawn turret 176,Operation - Reaper Gunship MiniTurret,124318,0,1,"(0, 0, 0)",,90,"(0, -0.5, 0)",0,1,0,2.1,-1,-1.57,0,-1.57 .. 0,2,0,0 .. -1
177,Core Mission 05 Flamethrow [CM5],\spawn turret 177,,124320,0,1,"(0, 0, 1.5)",,90,"(0, -0.5, 0)",0,1,6.28319,-1,6.28319,0,0,0 .. 6.28319,2,0,0 .. 6.28319
178,Chosen LGV Weapon Core Mission 3,\spawn turret 178,,113708,0,1,"(0.8, 0, 0)",,90,"(0, -2, 0.5)",0,1,0,0,0,0,0,0 .. 0,2,0,0 .. 0
179,Missile Command Turret,\spawn turret 179,,120628,0,1,"(0, 0, 2)",,90,"(0, -0.5, 0.15)",34680,1,0.959934,3.14159,2.18166,-0.698132,-2.18166,-0.698132 .. 0.959934,2,0,-2.18166 .. 2.18166
180,Defense of Dredge AA Turret,\spawn turret 180,[DoD] Defense of Dredge AA Turret Weapon,139388,0,0,"(0, 0, 0)",,90,"(0, -0.5, 0)",34680,1,1.57,1.5,-1,0.195,0,0.195 .. 1.57,2,0,0 .. -1
181,Defense of Dredge Defense Turret,\spawn turret 181,[DoD] Defense of Dredge Defense Turret Weapon,139389,0,1,"(0, 0, 0)",,90,"(0, -0.5, 0)",34680,1,1.57,1.5,-1,0.195,0,0.195 .. 1.57,2,0,0 .. -1
182,Gate Crasher - Anti-Air Turret,\spawn turret 182,,139393,0,1,"(0, 0, 0)",,90,"(0, -0.5, 0)",0,1,1.5708,0.872665,-1.00007,-0.392699,0,-0.392699 .. 1.5708,2,0,0 .. -1.00007
183,Operation Boss Beam Turret,\spawn turret 183,,33827,0,1,"(0, 0, 2)",,90,"(0, -0.5, 0.15)",34680,1,0.0174533,0.0174533,0.0174533,-0.0174533,-0.0174533,-0.0174533 .. 0.0174533,2,0,-0.0174533 .. 0.0174533
184,[DoD] Defense of Dredge Defense,\spawn turret 184,[DoD] Defense of Dredge Defense Turret Weapon,139389,0,1,"(0, 0, 0)",,90,"(0, -0.5, 0)",34680,1,1.57,1.5,-1,0.195,0,0.195 .. 1.57,2,0,0 .. -1
185,TEST Fog Finger,\spawn turret 185,,139328,0,1,"(0, 0, 1.5)",,90,"(0, -0.5, 0)",0,1,6.28319,-1,6.28319,0,0,0 .. 6.28319,2,0,0 .. 6.28319
186,Operation Tesla Beam Turret - El,\spawn turret 186,,139839,0,1,"(0, 0, 2)",,90,"(0, -0.5, 0.15)",34680,1,0.959934,3.14159,2.18166,-0.698132,-2.18166,-0.698132 .. 0.959934,2,0,-2.18166 .. 2.18166
187,NPC Multi Turret,\spawn turret 187,NPC Multi-Turret Rifle,140774,0,1,"(0, 0, 1.3)",,90,"(0, -0.5, 0)",0,1,-1,3.75246,-1,0,0,0 .. -1,2,0,0 .. -1
188,Operation 003 - Final Boss Beam,\spawn turret 188,,33827,0,1,"(0, 0, 0)",,90,"(0, -0.5, 0.15)",34680,1,1.5708,-0.0174533,3.14159,-1.5708,-3.14159,-1.5708 .. 1.5708,2,0,-3.14159 .. 3.14159
189,MGV missiles,\spawn turret 189,,141848,0,1,"(0.8, 0, 0)",,90,"(0, -2, 0.5)",0,1,0,0,0,0,0,0 .. 0,2,0,0 .. 0
190,[TEST] jwoe - Ship Turret Type,\spawn turret 190,,141900,0,3,"(0, 0, 0)",,90,"(0, 0, -5)",0,1,-0.785398,8.72665,-0.785398,0,0,0 .. -0.785398,5,0,0 .. -0.785398
191,Melding Nano Missile Turret,\spawn turret 191,,141974,0,1,"(0, 0, 1.5)",,90,"(0, -0.5, 0)",0,0,6.28319,-1,6.28319,0,0,0 .. 6.28319,1,0,0 .. 6.28319
192,[DTZE] Anti-Air Flak,\spawn turret 192,,141966,0,1,"(0, 0, 0)",,90,"(0, 0, 0)",0,1,1.5708,4.36332,-0.0174533,0.226893,0,0.226893 .. 1.5708,5,0,0 .. -0.0174533
193,[ZONE EVENT] DT Darkslip Shield,\spawn turret 193,,141967,0,0,"(0, 0, 0)",,90,"(0, 0, 0)",0,0,-0.174533,4.36332,-0.174533,0,0,0 .. -0.174533,2,0,0 .. -0.174533
194,Devils' Tusk Chosen Mortar,\spawn turret 194,,142001,0,1,"(0, 0, 10)",,60,"(0, -5, 0.2)",0,1,0.959931,0,0,0.610865,0,0.610865 .. 0.959931,0,0,0 .. 0
195,[ZONE EVENT] DT Accord Gunship R,\spawn turret 195,,142270,0,1,"(0, 0, 0)",,90,"(0, -0.5, 0.5)",41469,1,0,8.72665,2.96706,-1.5708,-0.349066,-1.5708 .. 0,3,0,-0.349066 .. 2.96706
196,[DT Zone Event] Test rocket turr,\spawn turret 196,,142148,0,0,"(0, 0, -3)",,90,"(0, 0, 0)",0,1,0.349066,1.74533,0.0872665,-0.349066,-0.0872665,-0.349066 .. 0.349066,2,0,-0.0872665 .. 0.0872665
197,[ZONE EVENT] DT Accord Gunship L,\spawn turret 197,,142270,0,0,"(0, 0, 0)",,90,"(0, 0, -3)",34680,0,-0.174533,8.72665,0.349066,-1.5708,-2.96706,-1.5708 .. -0.174533,3,0,-2.96706 .. 0.349066
198,[ZONE EVENT] DT Accord Gunship M,\spawn turret 198,,142050,0,1,"(0, 0, 0)",,90,"(0, 0, 0)",41469,1,0,4.36332,-0.0174533,-1.5708,0,-1.5708 .. 0,3,0,0 .. -0.0174533
199,Prototype Gunship Turret (Bottom,\spawn turret 199,,142372,0,1,"(0, 0, -3)",,90,"(0, 0, -10)",34680,1,0.174533,87.2665,0.349066,-1.5708,3.05433,-1.5708 .. 0.174533,2,0,3.05433 .. 0.349066
200,Prototype Gunship Turret (Top),\spawn turret 200,,142372,0,1,"(0, 0, 12)",,90,"(0, 0, 20)",34680,1,1.5708,87.2665,0.349066,-0.174533,3.05433,-0.174533 .. 1.5708,2,0,3.05433 .. 0.349066
201,Leviathan Swivel Turret,\spawn turret 201,,142642,0,1,"(0, 0, 0)",,90,"(0, -0.5, 0)",0,1,1.5708,0.872665,-1.00007,-0.392699,0,-0.392699 .. 1.5708,2,0,0 .. -1.00007
202,Prototype Leviathan Turret,\spawn turret 202,,142643,0,1,"(0, 0, 0)",,90,"(0, -0.5, 0)",0,1,1.5708,2.09963,-1.00007,0,0,0 .. 1.5708,2,0,0 .. -1.00007
203,[DTZE] Anti-Air Flak #2 - More P,\spawn turret 203,,141966,0,1,"(0, 0, 0)",,90,"(0, 0, 0)",0,1,1.5708,4.36332,-0.0174533,0.139626,0,0.139626 .. 1.5708,5,0,0 .. -0.0174533
204,Accord Fighter Turret,\spawn turret 204,,142372,0,1,"(0, 0, 1.3)",,90,"(0, -0.5, 0)",0,1,0,2.09963,-1.00007,-1.5708,0,-1.5708 .. 0,2,0,0 .. -1.00007
205,obsolete,\spawn turret 205,,143180,0,1,"(0, 0, 2)",,90,"(0, -0.5, 0.15)",34680,1,0.959934,6.28319,6.28319,-0.610865,-6.28319,-0.610865 .. 0.959934,2,0,-6.28319 .. 6.28319
206,Chosen Medium Thumper Turret,\spawn turret 206,,144086,0,1,"(0, 0, 28)",,90,"(0, -0.5, 0)",0,1,1.5708,0.9,-1,0.195477,0,0.195477 .. 1.5708,2,0,0 .. -1
