id,name,spawn_command,faction,faction_id,race_name,chassis_name,weapon1_name,weapon2_name,backpack_name,loot_table_name,loot_table2_name,title_name,ai_spawn_delay_ms,armor_warpaint_palette_id,backpack_id,behavior,behavior_defensive,behavior_defensive_instance_id,behavior_instance_id,behavior_offensive,behavior_offensive_instance_id,behavior_short,body_height,body_mass,body_radius,bodysuit_warpaint_palette_id,charinfo_id,chassis_id,crafting_type_id,damage_response_id,difficulty_cost,extra_color_1,extra_color_2,extra_color_3,extra_color_4,eye_color,eyes_id,facial_hair_color,fast_speed,fullbody_warpaint_palette_id,gender,glow_warpaint_palette_id,gravity,hair_color,head_acc1_id,head_acc2_id,head_id,health_regen,is_componented,lip_color,localized_name_id,loot,loot_table2_id,loot_table_id,max_rand_scale,min_rand_scale,network_fidelity,normal_speed,ornaments_map_group_id_1,ornaments_map_group_id_2,ornaments_map_group_id_3,ornaments_map_group_id_4,posetype_id,projectile_offset,race,respawn_flags,scaling_table_id,skin_color,terminal_type_name,title,vendor_id,visual_options_id,visuals_group_id,voice_set,warpaint_pattern_data,warpaint_tattoo_data,weapon1_id,weapon2_id,weapons,xp_resource_id,xpreward_type
11,,\spawn monster 11,gaea,7,Wildlife,,,,,CORE NPC Kill Loot 3 (Medium) - Crystite/Powerups Subtable,,,2000,76743,0,AggressiveWanderer,,0,0,,0,AggressiveWanderer,-1,-1,-1,76741,118,34336,0,0,0,"(1.47451, 0.0235294, 0.0235294, 1)","(2, 0.67451, 0, 1)","(1.78, 0, 0, 1)","(1, 1, 1, 1)",0,10001,6241,-1,0,M,76891,1,0,0,0,0,0,0,0,95322,3 / -,0,3,-1,-1,1,-1,0,0,0,0,0,"(0, 0, 0)",9,3,0,0,VENDOR,0,0,0,0,0,(0),(0),34476,0,34476 / -,0,0
12,,\spawn monster 12,gaea,7,Wildlife,,,,,CORE NPC Kill Loot 3 (Medium) - Crystite/Powerups Subtable,,,2000,76743,0,AggressiveWanderer,,0,0,,0,AggressiveWanderer,-1,-1,-1,76741,118,34337,0,0,0,"(0.933333, 0.592157, 0.0470588, 1)","(0.87451, 0.419608, 0, 1)","(0.952941, 0.333333, 0, 1)","(1, 1, 1, 1)",0,10001,6241,-1,0,M,76891,1,0,0,0,0,0,0,0,95321,3 / -,0,3,-1,-1,1,-1,0,0,0,0,0,"(0, 0, 0)",9,3,0,0,VENDOR,0,0,0,0,0,(0),(0),34476,0,34476 / -,0,0
13,,\spawn monster 13,gaea,7,Wildlife,,NPC MONSTER Large Salamander Melee Attack,,,CORE NPC Kill Loot 4 (Large) - Crystite/Powerups Subtable,,,2000,76743,0,AggressiveWanderer,,0,0,,0,AggressiveWanderer,-1,-1,-1,76741,116,34338,0,0,0,"(0.823529, 0.545098, 0.0941177, 1)","(0.403922, 0.215686, 0.0431373, 1)","(0.180392, 0.243137, 0.0392157, 1)","(1, 1, 1, 1)",0,10001,6241,-1,0,M,76891,1,0,0,0,0,0,0,0,95431,4 / -,0,4,-1,-1,1,-1,0,0,0,0,0,"(0, 0, 0)",9,3,0,0,VENDOR,0,0,0,0,0,(0),(0),34478,0,34478 / -,0,0
14,,\spawn monster 14,gaea,7,Wildlife,,NPC MONSTER Large Salamander Melee Attack,,,CORE NPC Kill Loot 4 (Large) - Crystite/Powerups Subtable,,,2000,76743,0,AggressiveWanderer,,0,0,,0,AggressiveWanderer,-1,-1,-1,76741,118,34339,0,0,0,"(1.47451, 0.0235294, 0.0235294, 1)","(2, 0.67451, 0, 1)","(1.78, 0, 0, 1)","(1, 1, 1, 1)",0,10001,6241,-1,0,M,76891,1,0,0,0,0,0,0,0,95430,4 / -,0,4,-1,-1,1,-1,0,0,0,0,0,"(0, 0, 0)",9,3,0,0,VENDOR,0,0,0,0,0,(0),(0),34478,0,34478 / -,0,0
19,Melded Varant - OLD,\spawn monster 19,melding,6,Melded,,,,,CORE Human NPC Kill Loot 4 (Large),Melded Loot 5 (MiniBoss),,2000,76743,0,"GiantMeldingSalamander(maxFlameDuration=2000,maxDurationFromEgg=15000)",,0,0,,0,GiantMeldingSalamander,-1,-1,-1,76741,117,34340,0,0,0,"(0.778235, 0, 0.311294, 1)","(0.172549, 0.0078432, 0.239216, 1)","(0.195451, 0.0069804, 0.202431, 1)","(1, 1, 1, 1)",0,10001,6241,-1,0,M,76891,1,0,0,0,0,0,0,0,95429,5312 / 5461,5461,5312,-1,-1,1,-1,0,0,0,0,0,"(0, 0, 0)",8,3,0,0,VENDOR,0,0,0,0,0,(0),(0),76426,76122,76426 / 76122,0,0
20,,\spawn monster 20,accord,1,Human,,,,,,,,2000,76848,0,,,0,0,,0,,-1,-1,-1,76941,5,34430,0,0,0,"(1, 1, 1, 1)","(1, 1, 1, 1)","(1, 1, 1, 1)","(1, 1, 1, 1)",0,10001,1774458977,-1,0,M,76942,1,4279452133,0,0,0,0,0,0,95581,,0,0,-1,-1,1,-1,0,0,0,0,0,"(0, 0, 0)",0,3,0,960692224,VENDOR,0,0,0,0,1039,"(0, 0, 0, 0)","(0, 0, 0, 0)",0,0,,0,0
21,,\spawn monster 21,accord,1,Human,,,,,,,,2000,76743,0,,,0,0,,0,,-1,-1,-1,76741,0,0,0,0,0,"(1, 1, 1, 1)","(1, 1, 1, 1)","(1, 1, 1, 1)","(1, 1, 1, 1)",0,10001,1774458977,-1,0,M,76891,1,4279452133,0,0,0,0,0,0,95329,,0,0,-1,-1,1,-1,0,0,0,0,0,"(0, 0, 0)",0,3,0,0,VENDOR,0,0,0,0,0,(0),(0),0,0,,0,0
22,Necronus,\spawn monster 22,chosen,2,Misc,,,,,,,,2000,76743,0,,,0,0,,0,,-1,-1,-1,76741,27,30436,0,0,0,"(1, 1, 1, 1)","(1, 1, 1, 1)","(1, 1, 1, 1)","(1, 1, 1, 1)",0,10001,0,-1,0,F,76891,1,0,0,0,0,0,0,0,95252,,0,0,-1,-1,15,-1,0,0,0,0,0,"(0, 0, 0)",6,26,0,0,VENDOR,0,0,0,0,0,"(0, 0, 0, 0)","(0, 0, 0, 0)",30647,0,30647 / -,0,0
23,,\spawn monster 23,accord,1,Human,,,,,,,,2000,76743,0,,,0,0,,0,,-1,-1,-1,76741,0,0,0,0,0,"(1, 1, 1, 1)","(1, 1, 1, 1)","(1, 1, 1, 1)","(1, 1, 1, 1)",0,10001,1774458977,-1,0,M,76891,1,4279452133,0,0,0,0,0,0,95330,,0,0,-1,-1,1,-1,0,0,0,0,0,"(0, 0, 0)",0,3,0,0,VENDOR,0,0,0,0,0,(0),(0),0,0,,0,0
24,,\spawn monster 24,accord,1,Human,,,,,,,,2000,76743,0,,,0,0,,0,,-1,-1,-1,76741,0,0,0,0,0,"(1, 1, 1, 1)","(1, 1, 1, 1)","(1, 1, 1, 1)","(1, 1, 1, 1)",0,10001,1774458977,-1,0,M,76891,1,4279452133,0,0,0,0,0,0,95331,,0,0,-1,-1,1,-1,0,0,0,0,0,"(0, 0, 0)",0,3,0,0,VENDOR,0,0,0,0,0,(0),(0),0,0,,0,0
25,,\spawn monster 25,accord,1,Human,,,,,,,,2000,76743,0,,,0,0,,0,,-1,-1,-1,76741,0,0,0,0,0,"(1, 1, 1, 1)","(1, 1, 1, 1)","(1, 1, 1, 1)","(1, 1, 1, 1)",0,10001,1774458977,-1,0,M,76891,1,4279452133,0,0,0,0,0,0,95332,,0,0,-1,-1,1,-1,0,0,0,0,0,"(0, 0, 0)",0,3,0,0,VENDOR,0,0,0,0,0,(0),(0),0,0,,0,0
26,,\spawn monster 26,chosen,2,Chosen,,,,,Campaign Token - SMG Rare or Epic,,,2000,76757,0,Null,,0,0,,0,Null,-1,-1,-1,76874,29,30047,0,0,0,"(1, 1, 1, 1)","(1, 1, 1, 1)","(1, 1, 1, 1)","(1, 1, 1, 1)",1054149029,10001,1774458977,-1,0,M,76921,1,4279450052,10010,10017,10007,0,1,2743609570,95216,51 / -,0,51,-1,-1,1,-1,0,0,0,0,0,"(0, 0, 0)",2,3,0,1506021473,VENDOR,0,0,0,0,0,"(0, 0, 0, 0)","(0, 0, 0, 0)",20013,20020,20013 / 20020,0,0
27,,\spawn monster 27,accord,1,Human,,,,,,,,2000,76757,0,"AlertAndInteractive(helloScript=""MRU - Sonar On"")",,0,0,,0,AlertAndInteractive,-1,-1,-1,76874,22,30439,0,0,0,"(1, 1, 1, 1)","(1, 1, 1, 1)","(1, 1, 1, 1)","(1, 1, 1, 1)",1054149029,10001,1774458977,-1,0,M,76921,1,4279450052,10017,10011,10002,0,1,2743609570,95229,,0,0,-1,-1,1,-1,0,0,0,0,0,"(0, 0, 0)",0,3,0,1506021473,VENDOR,0,0,0,0,0,"(0, 0, 0, 0)","(0, 0, 0, 0)",0,0,,0,0
28,,\spawn monster 28,accord,1,Human,,,,,,,,2000,76757,0,Null,,0,0,,0,Null,-1,-1,-1,76874,21,30440,0,0,0,"(1, 1, 1, 1)","(1, 1, 1, 1)","(1, 1, 1, 1)","(1, 1, 1, 1)",1054149029,10001,1774458977,-1,0,M,76921,1,4279450052,10004,10011,10002,0,1,2743609570,95232,,0,0,-1,-1,1,-1,0,0,0,0,0,"(0, 0, 0)",0,3,0,1506021473,VENDOR,0,0,0,0,0,"(0, 0, 0, 0)","(0, 0, 0, 0)",0,0,,0,0
29,,\spawn monster 29,accord,1,Human,,,,,,,,2000,76757,0,Null,,0,0,,0,Null,-1,-1,-1,76874,21,30440,0,0,0,"(1, 1, 1, 1)","(1, 1, 1, 1)","(1, 1, 1, 1)","(1, 1, 1, 1)",1054149029,10001,1774458977,-1,0,M,76921,1,4279450052,10004,10008,10002,0,1,2743609570,95231,,0,0,-1,-1,1,-1,0,0,0,0,0,"(0, 0, 0)",0,3,0,1506021473,VENDOR,0,0,0,0,0,"(0, 0, 0, 0)","(0, 0, 0, 0)",0,0,,0,0
30,,\spawn monster 30,accord,1,Human,,,,,,,,2000,76757,0,Null,,0,0,,0,Null,-1,-1,-1,76874,22,30439,0,0,0,"(1, 1, 1, 1)","(1, 1, 1, 1)","(1, 1, 1, 1)","(1, 1, 1, 1)",1054149029,10001,1774458977,-1,0,M,76921,1,4279450052,10017,10008,10002,0,1,2743609570,95230,,0,0,-1,-1,1,-1,0,0,0,0,0,"(0, 0, 0)",0,3,0,1506021473,VENDOR,0,0,0,0,0,"(0, 0, 0, 0)","(0, 0, 0, 0)",0,0,,0,0
31,,\spawn monster 31,accord,1,Human,,,,,,,,2000,76757,0,Null,,0,0,,0,Null,-1,-1,-1,76874,35,30447,0,0,0,"(1, 1, 1, 1)","(1, 1, 1, 1)","(1, 1, 1, 1)","(1, 1, 1, 1)",1054149029,10001,1774458977,-1,0,M,76921,1,4279450052,10017,10017,10003,0,1,2743609570,95228,,0,0,-1,-1,1,-1,0,0,0,0,0,"(0, 0, 0)",0,3,0,1506021473,VENDOR,0,0,0,0,0,"(0, 0, 0, 0)","(0, 0, 0, 0)",0,0,,0,0
32,,\spawn monster 32,accord,1,Human,,,,,,,,2000,76757,0,Null,,0,0,,0,Null,-1,-1,-1,76874,31,30448,0,0,0,"(1, 1, 1, 1)","(1, 1, 1, 1)","(1, 1, 1, 1)","(1, 1, 1, 1)",1054149029,10001,1774458977,-1,0,M,76921,1,4279450052,10005,10017,10003,0,1,2743609570,95227,,0,0,-1,-1,1,-1,0,0,0,0,0,"(0, 0, 0)",0,3,0,1506021473,VENDOR,0,0,0,0,0,"(0, 0, 0, 0)","(0, 0, 0, 0)",0,0,,0,0
33,,\spawn monster 33,accord,1,Human,,,,,,,,2000,76757,0,Null,,0,0,,0,Null,-1,-1,-1,76874,31,30448,0,0,0,"(1, 1, 1, 1)","(1, 1, 1, 1)","(1, 1, 1, 1)","(1, 1, 1, 1)",1054149029,10001,1774458977,-1,0,M,76921,1,4279450052,10004,10017,10003,0,1,2743609570,95226,,0,0,-1,-1,1,-1,0,0,0,0,0,"(0, 0, 0)",0,3,0,1506021473,VENDOR,0,0,0,0,0,"(0, 0, 0, 0)","(0, 0, 0, 0)",0,0,,0,0
34,,\spawn monster 34,accord,1,Human,,,,,,,,2000,76757,0,Null,,0,0,,0,Null,-1,-1,-1,76874,36,30449,0,0,0,"(1, 1, 1, 1)","(1, 1, 1, 1)","(1, 1, 1, 1)","(1, 1, 1, 1)",1054149029,10001,1774458977,-1,0,M,76921,1,4279450052,10007,10012,10004,0,1,2743609570,95225,,0,0,-1,-1,1,-1,0,0,0,0,0,"(0, 0, 0)",0,3,0,1506021473,VENDOR,0,0,0,0,0,"(0, 0, 0, 0)","(0, 0, 0, 0)",0,0,,0,0
35,,\spawn monster 35,accord,1,Human,,,,,,,,2000,76757,0,Null,,0,0,,0,Null,-1,-1,-1,76874,32,30450,0,0,0,"(1, 1, 1, 1)","(1, 1, 1, 1)","(1, 1, 1, 1)","(1, 1, 1, 1)",1054149029,10001,1774458977,-1,0,M,76921,1,4279450052,10007,10009,10004,0,1,2743609570,95224,,0,0,-1,-1,1,-1,0,0,0,0,0,"(0, 0, 0)",0,3,0,1506021473,VENDOR,0,0,0,0,0,"(0, 0, 0, 0)","(0, 0, 0, 0)",0,0,,0,0
36,,\spawn monster 36,accord,1,Human,,,,,,,,2000,76757,0,Null,,0,0,,0,Null,-1,-1,-1,76874,32,30450,0,0,0,"(1, 1, 1, 1)","(1, 1, 1, 1)","(1, 1, 1, 1)","(1, 1, 1, 1)",1054149029,10001,1774458977,-1,0,M,76921,1,4279450052,10005,10012,10004,0,1,2743609570,95223,,0,0,-1,-1,1,-1,0,0,0,0,0,"(0, 0, 0)",0,3,0,1506021473,VENDOR,0,0,0,0,0,"(0, 0, 0, 0)","(0, 0, 0, 0)",0,0,,0,0
37,,\spawn monster 37,accord,1,Human,,,,,,,,2000,76757,0,Null,,0,0,,0,Null,-1,-1,-1,76874,32,30450,0,0,0,"(1, 1, 1, 1)","(1, 1, 1, 1)","(1, 1, 1, 1)","(1, 1, 1, 1)",1054149029,10001,1774458977,-1,0,M,76921,1,4279450052,10006,10009,10004,0,1,2743609570,95222,,0,0,-1,-1,1,-1,0,0,0,0,0,"(0, 0, 0)",0,3,0,1506021473,VENDOR,0,0,0,0,0,"(0, 0, 0, 0)","(0, 0, 0, 0)",0,0,,0,0
38,,\spawn monster 38,accord,1,Human,,,,,,,,2000,76757,0,Null,,0,0,,0,Null,-1,-1,-1,76874,36,30449,0,0,0,"(1, 1, 1, 1)","(1, 1, 1, 1)","(1, 1, 1, 1)","(1, 1, 1, 1)",1054149029,10001,1774458977,-1,0,M,76921,1,4279450052,10017,10012,10004,0,1,2743609570,95221,,0,0,-1,-1,1,-1,0,0,0,0,0,"(0, 0, 0)",0,3,0,1506021473,VENDOR,0,0,0,0,0,"(0, 0, 0, 0)","(0, 0, 0, 0)",0,0,,0,0
39,,\spawn monster 39,accord,1,Human,,,,,,,,2000,76757,0,Null,,0,0,,0,Null,-1,-1,-1,76874,36,30449,0,0,0,"(1, 1, 1, 1)","(1, 1, 1, 1)","(1, 1, 1, 1)","(1, 1, 1, 1)",1054149029,10001,1774458977,-1,0,M,76921,1,4279450052,10017,10009,10004,0,1,2743609570,95220,,0,0,-1,-1,1,-1,0,0,0,0,0,"(0, 0, 0)",0,3,0,1506021473,VENDOR,0,0,0,0,0,"(0, 0, 0, 0)","(0, 0, 0, 0)",0,0,,0,0
40,,\spawn monster 40,accord,1,Human,,BaseDefense Turret Rifle,,,,,,2000,76757,0,EngineerTurret,,0,0,,0,EngineerTurret,-1,-1,-1,76874,33,30451,0,0,0,"(1, 1, 1, 1)","(1, 1, 1, 1)","(1, 1, 1, 1)","(1, 1, 1, 1)",1054149029,10001,1774458977,-1,0,M,76921,1,4279450052,10017,10017,0,0,0,2743609570,95206,,0,0,-1,-1,1,-1,0,0,0,0,0,"(0, 0, 0)",0,3,0,1506021473,VENDOR,0,0,0,0,0,"(0, 0, 0, 0)","(0, 0, 0, 0)",20039,0,20039 / -,0,0
41,,\spawn monster 41,accord,1,Human,CORAL - NPC Biotech Battleframe,,,,,,,2000,76757,0,Null,,0,0,,0,Null,-1,-1,-1,76874,40,10002,0,0,0,"(1, 1, 1, 1)","(1, 1, 1, 1)","(1, 1, 1, 1)","(1, 1, 1, 1)",1054149029,10001,1774458977,-1,0,M,76921,1,4279450052,10004,10008,10002,0,1,2743609570,95233,,0,0,-1,-1,1,-1,0,0,0,0,0,"(0, 0, 0)",0,3,0,1506021473,VENDOR,0,0,0,0,0,"(0, 0, 0, 0)","(0, 0, 0, 0)",0,0,,0,0
42,,\spawn monster 42,chosen,2,Chosen,,,,,,,,2000,76757,30168,Null,,0,0,,0,Null,-1,-1,-1,76874,44,30053,0,0,0,"(1, 1, 1, 1)","(1, 1, 1, 1)","(1, 1, 1, 1)","(1, 1, 1, 1)",1054149029,10001,1774458977,-1,0,M,76921,1,4279450052,10003,10017,10006,0,1,2743609570,95217,,0,0,-1,-1,1,-1,0,0,0,0,0,"(0, 0, 0)",2,3,0,1506021473,VENDOR,0,0,0,0,0,"(0, 0, 0, 0)","(0, 0, 0, 0)",0,0,,0,0
43,,\spawn monster 43,accord,1,Human,,,,,,,,2000,76757,0,Null,,0,0,,0,Null,-1,-1,-1,76874,42,10001,0,0,0,"(1, 1, 1, 1)","(1, 1, 1, 1)","(1, 1, 1, 1)","(1, 1, 1, 1)",1054149029,10001,1774458977,-1,0,F,76921,1,4279450052,10015,10016,10009,0,1,2743609570,95234,,0,0,-1,-1,1,-1,0,0,0,0,0,"(0, 0, 0)",0,3,0,1506021473,VENDOR,0,0,0,0,0,"(0, 0, 0, 0)","(0, 0, 0, 0)",0,0,,0,0
44,,\spawn monster 44,chosen,2,Chosen,,,,,Campaign Token - SMG Rare or Epic,,,2000,76757,30168,Null,,0,0,,0,Null,-1,-1,-1,76874,45,30053,0,0,0,"(1, 1, 1, 1)","(1, 1, 1, 1)","(1, 1, 1, 1)","(1, 1, 1, 1)",1054149029,10001,1774458977,-1,0,M,76921,1,4279450052,10019,10020,10010,0,1,2743609570,95218,51 / -,0,51,-1,-1,1,-1,0,0,0,0,0,"(0, 0, 0)",2,3,0,1506021473,VENDOR,0,0,0,0,0,"(0, 0, 0, 0)","(0, 0, 0, 0)",20009,0,20009 / -,0,0
