id,name,spawn_command,class_name,faction,faction_id,gameplay_priority_boost,localized_name_id,race,scaling_table_id,vehicle_class
189,Accord A-10 Mamba LGV,\spawn vehicle 189,LGV,accord,1,0,742821,0,10003,1
190,Communications Array,\spawn vehicle 190,Cargo,accord,1,0,779714,0,10003,2
191,ARES-Team Transport Non-Drivable,\spawn vehicle 191,HGV,accord,1,0,786514,0,10003,0
192,A_LGVCycle04,\spawn vehicle 192,LGV,accord,1,0,805243,0,10003,1
194,Oilspill's Dropship,\spawn vehicle 194,Dropship,accord,1,0,817212,0,10003,3
195,MoonFestival LGV,\spawn vehicle 195,LGV,accord,1,0,839900,0,10003,1
197,Blazing Hope LGV,\spawn vehicle 197,LGV,accord,1,0,857951,0,10003,1
198,Blazing Hope MGV,\spawn vehicle 198,MGV,accord,1,0,858138,0,10003,5
199,Operation Test - Doesnt Work.,\spawn vehicle 199,HGV,accord,1,0,862452,0,10003,0
200,Mobile AA,\spawn vehicle 200,HGV,accord,1,0,862474,10,10003,0
201,A1 Hauler,\spawn vehicle 201,HGV,accord,1,0,862915,0,10003,0
202,_M05_Mi751_CM4_No_Exit - Accord Dropship,\spawn vehicle 202,Dropship,accord,1,0,866399,0,10003,3
203,Bsu_TestLGV,\spawn vehicle 203,LGV,accord,1,0,869273,0,10003,1
204,Infinite LGV,\spawn vehicle 204,LGV,accord,1,0,869314,0,10003,1
205,Forester MGV,\spawn vehicle 205,MGV,accord,1,0,871679,0,10003,5
206,Fury Monster MGV,\spawn vehicle 206,MGV,accord,1,0,871685,0,10003,5
207,Tarantula LGV,\spawn vehicle 207,LGV,accord,1,0,871692,0,10003,1
208,Accord Dropship,\spawn vehicle 208,Dropship,accord,1,0,895247,0,10003,3
209,Phoenix LGV,\spawn vehicle 209,LGV,accord,1,0,895543,0,10003,1
210,Sonic Wave LGV,\spawn vehicle 210,LGV,accord,1,0,895544,0,10003,1
211,Death Rose LGV,\spawn vehicle 211,LGV,accord,1,0,895545,0,10003,1
212,Wood Pecker LGV,\spawn vehicle 212,LGV,accord,1,0,895546,0,10003,1
213,Celebrity MGV,\spawn vehicle 213,MGV,accord,1,0,895553,0,10003,5
214,Rising Star LGV,\spawn vehicle 214,LGV,accord,1,0,895568,0,10003,1
215,Top Dog LGV,\spawn vehicle 215,LGV,accord,1,0,895571,0,10003,1
216,Ace LGV,\spawn vehicle 216,LGV,accord,1,0,895572,0,10003,1
218,Omnidyne-M Flagship MGV,\spawn vehicle 218,MGV,accord,1,0,903481,0,10003,5
219,Hummingbird Racer,\spawn vehicle 219,LGV,accord,1,0,913606,0,10003,1
220,Mosquito Racer,\spawn vehicle 220,LGV,accord,1,0,913619,0,10003,1
221,Kestrel Racer,\spawn vehicle 221,LGV,accord,1,0,913760,0,10003,1
222,Black Widow Racer,\spawn vehicle 222,LGV,accord,1,0,913761,0,10003,1
223,Cherub LGV,\spawn vehicle 223,LGV,accord,1,0,916364,0,10003,1
224,Blue Kestrel (level 50 epic mgv),\spawn vehicle 224,MGV,accord,1,0,916564,0,10003,5
225,[TEST] jwoe - DT gunship,\spawn vehicle 225,Dropship,accord,1,0,916707,7,10003,3
226,Accord Disintegrator Gunship,\spawn vehicle 226,Dropship,accord,1,0,918123,7,10003,3
227,Chosen Darkslip,\spawn vehicle 227,Dropship,chosen,2,0,918197,7,10003,3
228,Devil's Tusk Zone Event - Accord Dropship,\spawn vehicle 228,Dropship,accord,1,0,918269,7,10003,3
229,[Raid] Trolly,\spawn vehicle 229,LGV,friendly,4,0,926163,7,10003,1
230,Prototype Assault Gunship,\spawn vehicle 230,Dropship,accord,1,0,930900,10,10003,3
231,Chosen Cycle,\spawn vehicle 231,LGV,,0,0,930955,2,10003,1
232,Chosen Raptor,\spawn vehicle 232,LGV,chosen,2,0,931718,8,10003,1
233,Accord Liberator Class Dropship,\spawn vehicle 233,Dropship,accord,1,0,933528,7,10003,3
234,U.A.S. Victory,\spawn vehicle 234,Battlecruiser,accord,1,0,947131,0,10003,6
235,Chosen Gunship (level 50 epic),\spawn vehicle 235,Dropship,chosen,2,0,950553,8,10003,3
335,Accord Player Fighter,\spawn vehicle 335,Dropship,accord,1,0,958212,0,10003,3
336,Accord Armored Dropship,\spawn vehicle 336,Dropship,accord,1,0,959031,0,10003,3
337,Accord Medivac Dropship,\spawn vehicle 337,Dropship,accord,1,0,959114,7,10003,3
338,Chosen Raptor,\spawn vehicle 338,LGV,chosen,2,0,959237,8,10003,1
339,Copy of Jaguar K-17 MGV TESTING,\spawn vehicle 339,MGV,accord,1,0,986290,0,10003,5
