deployable_id,function_id,function,behavior,emote_id,explicit_emote_duration,authored_placements_in_repository
278,2,Rest,"DynamicEmote(emote=""townlean4"",emoteDuration=30000)",1054,30000,0
279,2,Rest,"DynamicEmote(emote=""townlean1M"",emoteDuration=30000)",1055,30000,0
282,2,Rest,"DynamicEmote(emote=""townlean4M"",emoteDuration=30000)",1058,30000,0
287,2,Rest,"DynamicEmote(emote=""sit_chair"",emoteDuration=15000)",61,15000,0
294,1,Work,"DynamicEmote(emote=""bartender"",emoteDuration=300000)",1061,300000,0
326,2,Rest,"DynamicEmote(emote=""sit_chair"",emoteDuration=15000)",61,15000,0
334,2,Rest,"DynamicEmote(emote=""sit_chair"",emoteDuration=60000)",61,60000,0
422,11,Target (tertiary),EquipAndUseAbility(ability_id=34400),,,0
608,2,Rest,"DynamicEmote(emote=""crewbunkbedtop"",emoteDuration=60000)",1083,60000,0
609,2,Rest,"DynamicEmote(emote=""crewbunkbedbottom"",emoteDuration=60000)",1086,60000,0
708,2,Rest,"DynamicEmote(emote=""sleep"",emoteDuration=120000)",1276,120000,0
835,2,Rest,"DynamicEmote(emote=""townbar2"",emoteDuration=200000)",1032,200000,0
941,15,Cover,"DynamicEmote(emote=""townlean1M"",emoteDuration=30000)",1055,30000,0
958,2,Rest,"PerformEmote(emote=""controlseat"",emoteDuration=999999)",1096,999999,0
959,2,Rest,"PerformEmote(emote=""guard"",emoteDuration=999999)",1097,999999,0
1009,2,Rest,"WaitForNextRestPosition(restFunction=""Line Rest 1"")",,,0
1010,16,Line Rest 1,"WaitForNextRestPosition(restFunction=""Line Rest 2"")",,,0
1011,17,Line Rest 2,"DynamicEmote(emote=""townbar1"",emoteDuration=60000)",1031,60000,0
1012,18,Guard Stance,AlertAndInteractive,,,0
1013,2,Rest,"DynamicEmote(emote=""townbar1"",emoteDuration=60000)",1031,60000,0
1050,18,Guard Stance,"PerformEmote(statusEffect=4381,stopEmoteOnExit = 0)",,,0
1051,18,Guard Stance,"PerformEmote(statusEffect=4383,stopEmoteOnExit = 0)",,,0
1053,2,Rest,"DynamicEmote(emote=""sittingstairs01"")",1130,,0
1054,2,Rest,"DynamicEmote(emote=""sittingstairs02"")",1131,,0
1055,2,Rest,"DynamicEmote(emote=""sittingstairs03"")",1132,,0
1056,21,Bar,"DynamicEmote(emote=""sittingchair01"")",1124,,0
1057,21,Bar,"DynamicEmote(emote=""sittingchair02"")",1125,,0
1058,21,Bar,"DynamicEmote(emote=""sittingchair03"")",1126,,0
1059,21,Bar,"DynamicEmote(emote=""sittingchair04"")",1127,,0
1060,21,Bar,"DynamicEmote(emote=""sittingchair05"")",1128,,0
1061,2,Rest,"DynamicEmote(emote=""sleep01"")",1133,,0
1062,2,Rest,"DynamicEmote(emote=""sleep02"")",1134,,0
1063,23,Recreation,"DynamicEmote(emote=""smoking01"")",1135,,0
1064,23,Recreation,"DynamicEmote(emote=""lounge01"")",1118,,0
1065,23,Recreation,"DynamicEmote(emote=""lounge02"")",1119,,0
1066,23,Recreation,"DynamicEmote(emote=""lounge03"")",1120,,0
1067,19,Medical Aid,"DynamicEmote(emote=""sick01"")",1122,,0
1068,19,Medical Aid,"DynamicEmote(emote=""sick02"")",1123,,0
1069,20,Rummage,"DynamicEmote(emote=""trash01"", emoteDuration=5000)",1136,5000,0
1070,1,Work,"DynamicEmote(emote=""airtraffic01"")",1114,,0
1071,1,Work,"DynamicEmote(emote=""curious01"")",1115,,0
1072,1,Work,"DynamicEmote(emote=""curious02"")",1116,,0
1073,1,Work,"DynamicEmote(emote=""waterplant01"")",,,0
1074,1,Work,"DynamicEmote(emote=""waterplant02"")",,,0
1075,8,Repair Work,"DynamicEmote(emote=""workingtech01"")",1129,,0
1076,1,Work,"DynamicEmote(emote=""typing01"")",1137,,0
1077,1,Work,"DynamicEmote(emote=""dataentry01"")",1117,,0
1078,8,Repair Work,"DynamicEmote(emote=""programmingtech01"")",1121,,0
1082,20,Rummage,"DynamicEmote(emote=""trash02"")",,,0
1083,19,Medical Aid,"DynamicEmote(emote=""medicalaid01"")",,,0
1084,22,Market,"DynamicEmote(emote=""waiting01"")",1140,,0
1085,22,Market,"DynamicEmote(emote=""waiting02"")",1141,,0
1086,22,Market,"DynamicEmote(emote=""waiting03"")",1142,,0
1088,2,Rest,"DynamicEmoteHolstered(emote=""townstand4"",emoteDuration=6000,endWithEmote=""calm"")",1044,6000,0
1097,8,Repair Work,"DynamicEmote(emote=""curious02"", emoteDuration=5000)",1116,5000,0
1098,8,Repair Work,"DynamicEmote(emote=""curious01"")",1115,,0
1099,1,Work,"DynamicEmote(emote=""programmingtech01"")",1121,,0
1100,8,Repair Work,"DynamicEmote(emote=""dataentry01"")",1117,,0
1104,1,Work,"DynamicEmote(emote=""workingtech01"")",1129,,0
1105,20,Rummage,"DynamicEmote(emote=""workingtech01"")",1129,,0
1106,20,Rummage,"DynamicEmote(emote=""curious02"")",1116,,0
1107,20,Rummage,"DynamicEmote(emote=""dataentry01"")",1117,,0
1108,20,Rummage,"DynamicEmote(emote=""curious01"")",1115,,0
1138,24,Driver Seat,"DynamicEmote(emote=""MGV"")",1143,,0
1264,0,Undefined,"DynamicEmote(emote=""wave"",emoteDuration=5000)",53,5000,0
1265,0,Undefined,"DynamicEmote(emote=""wave"",emoteDuration=5000)",53,5000,0
1284,0,Undefined,"DynamicEmote(emote=""wave"",emoteDuration=5000)",53,5000,0
1285,0,Undefined,"DynamicEmote(emote=""wave"",emoteDuration=5000)",53,5000,0
1286,0,Undefined,"DynamicEmote(emote=""wave"",emoteDuration=5000)",53,5000,0
1287,0,Undefined,"DynamicEmote(emote=""wave"",emoteDuration=5000)",53,5000,0
1591,25,Passenger Seat,"DynamicEmote(emote=""sit_chair"")",61,,0
1747,20,Rummage,"DynamicEmote(emote=""Utility"", emoteDuration=2500)",1269,2500,0
1811,0,Undefined,z,,,0
1830,20,Rummage,"DynamicEmoteHolstered(emote=""dance"",emoteDuration=3000)",1,3000,0
2182,2,Rest,"CallForConversation(npcMonsterId=356,gotoBehavior=""GoToConversation(thoughtActionID=11589)"")",,,0
2452,25,Passenger Seat,"DynamicEmote(emote=""MGV"")",1143,,0
2818,16,Line Rest 1,"WaitForNextRestPosition(restFunction=""Line Rest 2"")",,,0
2819,16,Line Rest 1,"WaitForNextRestPosition(restFunction=""Line Rest 2"")",,,0
3019,22,Market,"DynamicEmote(emote=""waiting01"")",1140,,0
3025,22,Market,"DynamicEmote(emote=""waiting01"")",1140,,0
3086,22,Market,"DynamicEmote(emote=""waiting01"")",1140,,0
3336,1,Work,"DynamicEmote(emote=""typing01"")",1137,,0
3399,22,Market,"DynamicEmote(emote=""waiting01"")",1140,,0
3420,2,Rest,"DynamicEmote(emote=""sit_chair"",emoteDuration=15000)",61,15000,0
3620,20,Rummage,"DynamicEmote(emote=""utility"")",1269,,0
3621,20,Rummage,"DynamicEmote(emote=""sit_chair"")",61,,0
