hash,table,rows,columns,runtime_loaded,spatial_fields,blob_fields
0x77D6AE53,apt::TargetSwapCommandDef,90,3,True,,
0x315DC4A9,apt::TargetTrimCommandDef,368,7,True,,
0x7E4C2B1A,apt::TimeCooldownCommandDef,1639,6,True,,
0x22B7D588,apt::TimeDurationCommandDef,9245,4,True,,
0xBE324F27,apt::TimedActivationCommandDef,4,3,True,,
0x76D76A61,apt::UpdateWaitAndFireOnceCommandDef,940,4,True,,
0x7C9A96B7,apt::UpdateWaitCommandDef,86,3,True,,
0xC7A1FA02,apt::UpdateYieldCommandDef,8,3,True,,
0x686CF004,apt::WhileLoopCommandDef,70,4,True,,
0x2157E9A2,aptfs::ActivationDurationCommandDef,18,3,True,,
0xE67B2BD6,aptfs::AddPhysicsCommandDef,63,9,True,,
0x82340DDD,aptfs::AirborneDurationCommandDef,330,2,True,,
0xA2663ED9,aptfs::ApplyAmmoRiderCommandDef,5,2,True,,
0x2E84A360,aptfs::ApplyClientStatusEffectCommandDef,3,4,True,,
0x3BDCF125,aptfs::ApplyFreezeCommandDef,31,1,True,,
0x8DEB2BD6,aptfs::ApplyImpulseCommandDef,280,8,True,,
0x98B37161,aptfs::AttemptToCalldownVehicleCommandDef,64,2,True,,
0x2989F13A,aptfs::BattleFrameDurationCommandDef,573,4,True,,
0x77BEB880,aptfs::BombardmentCommandDef,35,10,True,,
0x64060CD8,aptfs::BullrushCommandDef,31,6,True,,
0x05FF6BBC,aptfs::ClimbLedgeCommandDef,3,6,True,,
0x88766AB1,aptfs::CombatFlagsCommandDef,1490,15,True,,
0xCD359A89,aptfs::ConsumeEnergyCommandDef,234,6,True,,
0xD032F9DB,aptfs::ConsumeEnergyOverTimeCommandDef,61,4,True,,
0x2E632B50,aptfs::ConsumeSuperChargeCommandDef,99,5,True,,
0xB7E2DD29,aptfs::CopyInitiationPositionCommandDef,4,3,True,,
0xF0116116,aptfs::DeployableCalldownCommandDef,224,19,True,,
0x6D643136,aptfs::DetonateProjectilesCommandDef,59,2,True,,
0x4A23EE1B,aptfs::DisableChatBubbleCommandDef,1,1,True,,
0x751A9DF9,aptfs::DisableHealthAndIconCommandDef,1,1,True,,
0x245790CF,aptfs::EnergyToDamageCommandDef,1,5,True,,
0x6192003C,aptfs::FireProjectileCommandDef,917,19,True,,
0xD3E213DB,aptfs::FireUiEventCommandDef,13,6,True,,
0x3EC3AF4A,aptfs::ForcePushCommandDef,632,7,True,,
0xA72838E6,aptfs::ForcedMovementDurationCommandDef,38,2,True,,
0x0A8B3F2C,aptfs::HasTargetsDurationCommandDef,1254,3,True,,
0x24CFE22E,aptfs::HealDamageCommandDef,490,6,True,,
0x65733FAE,aptfs::ImpactMarkInteractivesCommandDef,4,2,True,,
0x202886AB,aptfs::InflictDamageCommandDef,2449,14,True,,
0x0569278D,aptfs::InteractionTypeCommandDef,66,2,True,,
0x3B43A827,aptfs::MovementFacingCommandDef,28,4,True,,
0x0EFB50AB,aptfs::MovementSlideCommandDef,162,21,True,,
0x41A21B6D,aptfs::MovementTetherCommandDef,21,11,True,,
0xB7EF4D8B,aptfs::OrientationLockCommandDef,55,5,True,,
0x96A102EB,aptfs::OverrideCollisionCommandDef,45,4,True,,
0x849A64CF,aptfs::RegisterClientProximityCommandDef,239,7,True,,
0x35403F2E,aptfs::RegisterLoadFromWeaponCommandDef,1,3,True,,
0x3B18962C,aptfs::RegisterMovementEffectCommandDef,117,7,True,,
0x4A351E64,aptfs::RemoveClientStatusEffectCommandDef,8,5,True,,
0x5F14D0F9,aptfs::RequestAbilitySelectionCommandDef,0,1,True,,
0xF2917E0E,aptfs::RequestBattleFrameListCommandDef,2,1,True,,
0x3B12CBEF,aptfs::RequireAimModeCommandDef,5,2,True,,
0x39BDC817,aptfs::RequireArmyCommandDef,3,3,True,,
0xC401154A,aptfs::RequireBackstabCommandDef,11,2,True,,
0xD74CA7B3,aptfs::RequireBulletHitCommandDef,3,6,True,,
0xD49F22C1,aptfs::RequireCAISStateCommandDef,18,5,True,,
0x9A9A6B10,aptfs::RequireCStateCommandDef,4889,9,True,,
0x09471DD9,aptfs::RequireDamageResponseCommandDef,22,7,True,,
0x78451214,aptfs::RequireEliteLevelCommandDef,11,2,True,,
0x7BCA24AD,aptfs::RequireEnergyByRangeCommandDef,0,8,True,,
0x091A1156,aptfs::RequireEnergyCommandDef,94,4,True,,
0x52A8CD46,aptfs::RequireEnergyFromTargetCommandDef,0,4,True,,
0x4E5BF388,aptfs::RequireEquippedItemCommandDef,67,3,True,,
0x3B8D3D2B,aptfs::RequireFriendsCommandDef,6,2,True,,
0xFE983DBB,aptfs::RequireHasCertificateCommandDef,292,3,True,,
0x54AEC28B,aptfs::RequireHasEffectCommandDef,3110,6,True,,
0x3D7098E1,aptfs::RequireHasEffectTagCommandDef,193,5,True,,
0x2089D163,aptfs::RequireHasItemCommandDef,183,4,True,,
0xD8D64A23,aptfs::RequireHasUnlockCommandDef,18,4,True,,
0xAEF44F29,aptfs::RequireHeadshotCommandDef,2,2,True,,
0x1E8E8A12,aptfs::RequireInCombatCommandDef,17,3,True,,
0x6B52E747,aptfs::RequireInRangeCommandDef,68,4,True,,
0x3714CDF9,aptfs::RequireInVehicleCommandDef,34,4,True,,
0xCC222535,aptfs::RequireIsNPCCommandDef,123,2,True,,
0x6BD8B643,aptfs::RequireItemAttributeCommandDef,352,2,True,,
0x25470C6C,aptfs::RequireItemDurabilityCommandDef,9,6,True,,
0x5EE9B50C,aptfs::RequireJumpedCommandDef,19,4,True,,
0x739EC136,aptfs::RequireLevelCommandDef,35,4,True,,
0x4BD62629,aptfs::RequireLineOfSightCommandDef,52,3,True,,
0x9686909B,aptfs::RequireMovementFlagsCommandDef,3,4,True,,
0xFA84B380,aptfs::RequireMovestateCommandDef,210,14,True,,
0x1EF6CFB0,aptfs::RequireMovingCommandDef,132,6,True,,
0x09797C9A,aptfs::RequireNeedsAmmoCommandDef,26,4,True,,
0xD11B381A,aptfs::RequireNotRespawnedCommandDef,63,2,True,,
0x8E3A6BCC,aptfs::RequirePermissionCommandDef,1,3,True,,
0x0F6F805A,aptfs::RequireProjectileSlopeCommandDef,0,4,True,,
0x5D808EB7,aptfs::RequireReloadCommandDef,5,4,True,,
0x4B58132D,aptfs::RequireResourceCommandDef,41,6,True,,
0x6510F43A,aptfs::RequireResourceFromTargetCommandDef,1,6,True,,
0x6FC24D35,aptfs::RequireSinAcquiredCommandDef,8,3,True,,
0x6146D0C4,aptfs::RequireSprintModifierCommandDef,4,2,True,,
0x3438309F,aptfs::RequireSquadLeaderCommandDef,4,3,True,,
0xC1FE9E5E,aptfs::RequireSuperChargeCommandDef,52,4,True,,
0x03A23650,aptfs::RequireTookDamageCommandDef,61,4,True,,
0xD3864196,aptfs::RequireWeaponArmedCommandDef,145,3,True,,
0xCD3F9010,aptfs::RequireWeaponTemplateCommandDef,98,3,True,,
0xFBA96929,aptfs::RequireZoneTypeCommandDef,98,7,True,,
0x79FBEFF0,aptfs::RequirementServerCommandDef,309,5,True,,
0x2C316D14,aptfs::ResourceNodeBeaconCalldownCommandDef,61,15,True,,
0x12D8757E,aptfs::RopePullCommandDef,17,5,True,,
0x2623B049,aptfs::SetProjectileTargetCommandDef,52,4,True,,
0xA6EEFD5C,aptfs::SetTargetOffsetCommandDef,10,3,True,,
0x7424B5A7,aptfs::SetWeaponDamageCommandDef,79,11,True,,
0x784ECDF5,aptfs::SetWeaponDamageTypeCommandDef,24,5,True,,
0xFFB2A4A5,aptfs::ShootingDurationCommandDef,118,6,True,,
0x77112600,aptfs::SlotAmmoCommandDef,115,9,True,,
0xC5162385,aptfs::StatModifierCommandDef,2574,6,True,,
0xF40B77B0,aptfs::StatRequirementCommandDef,762,8,True,,
0x166C56A8,aptfs::SwitchWeaponCommandDef,343,5,True,,
0x6332573D,aptfs::TargetByCharacterStateCommandDef,470,9,True,,
0x8C46FA83,aptfs::TargetByDamageResponseCommandDef,243,7,True,,
0xCE35DA0C,aptfs::TargetByEffectCommandDef,1092,7,True,,
0x063ADBF2,aptfs::TargetByEffectTagCommandDef,38,5,True,,
0x76DEB93F,aptfs::TargetByHealthCommandDef,14,5,True,,
0xC7FB79EE,aptfs::TargetByHostilityCommandDef,389,9,True,,
0x43DA481D,aptfs::TargetByObjectTypeCommandDef,874,7,True,,
0x347B4431,aptfs::TargetClassTypeCommandDef,25,3,True,,
0x68CCF8D9,aptfs::TargetCurrentVehicleCommandDef,43,2,True,,
0x10DF22ED,aptfs::TargetFilterByRangeCommandDef,16,5,True,,
0x3D746007,aptfs::TargetFilterBySinAcquiredCommandDef,0,3,True,,
0xBF9D6F5A,aptfs::TargetFilterMovestateCommandDef,22,15,True,,
0xEDEF49A7,aptfs::TargetFriendliesCommandDef,351,5,True,,
0x4819B334,aptfs::TargetFromStatusEffectCommandDef,72,3,True,,
0x943E2A7B,aptfs::TargetHostilesCommandDef,1942,5,True,,
0xAFD87842,aptfs::TargetInteractivesCommandDef,1,2,True,,
0xAB1849DF,aptfs::TargetOwnerCommandDef,177,2,True,,
0xB51A38CE,aptfs::TargetPassengersCommandDef,12,3,True,,
0x9C4D12E8,aptfs::TargetSquadmatesCommandDef,24,3,True,,
0xB0EBD1FF,aptfs::UiNamedVariableCommandDef,7,5,True,,
0x20169727,aptfs::VehicleCalldownCommandDef,12,3,True,,
0x64E8D150,apttf::LocalParticleEffectCommandDef,405,5,False,,
0xBE99EDCE,apttf::tfAVMaterialOverrideCommandDef,12,2,False,,
0xA0CE86BF,apttf::tfAbilityAnimationCommandDef,1898,12,False,,
0x7DCDE40D,apttf::tfAbilityToggledCommandDef,31,2,False,,
0x333C6300,apttf::tfAimSwayCommandDef,8,2,False,,
0x211F2B07,apttf::tfApplyAssetOverridesCommandDef,40,2,False,,
0x5054B64D,apttf::tfAttachObjectCommandDef,299,15,False,,
0x43BAD3F8,apttf::tfAudioFeedbackCommandDef,7609,5,False,,
0x297F5DFC,apttf::tfAudioStateChangeCommandDef,28,5,False,,
0x2AD9397E,apttf::tfBeamEffectCommandDef,234,8,False,,
0xE9629641,apttf::tfCameraShakeEffectCommandDef,507,12,False,,
0xF5253847,apttf::tfClientInputCommandDef,41,3,False,,
0x81244F1B,apttf::tfCustomPlayerCameraCommandDef,115,10,False,0xC259CC76:Vector3; 0x3A4D36F5:Vector3,
0xE2622802,apttf::tfDecoyModelCommandDef,9,9,False,,
0xAF87B6F8,apttf::tfDrawScanPlotDef,4,6,False,,
0xFAD84B15,apttf::tfForceReloadCommandDef,13,1,False,,
0xDBFBE281,apttf::tfFullscreenFxCommandDef,27,3,False,,
0x5324E501,apttf::tfHighlightTargetsFeedbackCommandDef,78,2,False,,
0x67AA3FD4,apttf::tfLoadLocalLevelCommandDef,2,3,False,,
0x2EC562E4,apttf::tfMapCloseCommandDef,6,1,False,,
0x76F35FD0,apttf::tfMapOpenCommandDef,6,3,False,,
0x5E537887,apttf::tfMeldingHudFxCommandDef,9,4,False,,
0xFAF89BEA,apttf::tfNotificationCommandDef,750,4,False,,
0xBA5F56B8,apttf::tfParticleEffectAssetCommandDef,9571,24,False,0xB95C24BD:Vector3,
0x6D549918,apttf::tfParticleEffectMultiplexCommandDef,101,4,False,,
0xB25603E0,apttf::tfParticleEffectParameterCommandDef,15,7,False,,
0x5B71E6A1,apttf::tfPerformEmoteCommandDef,530,2,False,,
0xB347290C,apttf::tfPfxHardpoints,254,2,False,,
0x682EB1ED,apttf::tfPlayAnimationCommandDef,642,4,False,,
0x5ECCDBC5,apttf::tfRemoveRagdollBodyCommandDef,2,2,False,,
0x2891AC46,apttf::tfRequireLocalHostilityCommandDef,28,5,False,,
0xB50EBDEA,apttf::tfRequireServerConfirmedCommandDef,109,3,False,,
0x58AC0303,apttf::tfResourceAreaCreateNodeCommandDef,2,1,False,,
0xDB41ACB1,apttf::tfSINPermanentCommandDef,9,2,False,,
0x10306823,apttf::tfSetAnimCtrlParamCommandDef,241,5,False,,
0x96837A53,apttf::tfSetBoneScaleCommandDef,37,4,False,,
0x8451E6F1,apttf::tfSetCharEmissiveCommandDef,289,7,False,,
0x142E96C2,apttf::tfSetFireModeCommandDef,10,2,False,,
0xEF5564FF,apttf::tfSetInteractTargetCommandDef,2,1,False,,
0x55D3F2CE,apttf::tfSetShaderParamCommandDef,136,4,False,,
0x7A6BF59C,apttf::tfSetWeaponColorCommandDef,14,3,False,,
0xDE0C86C6,apttf::tfShowItemIconCommandDef,7,2,False,,
0xEBBC77CB,apttf::tfSlotTechCommandDef,32,3,False,,
0x865D65B5,apttf::tfSpawnPhysicsPropCommandDef,12,9,False,0xAB4E55B1:Vector3; 0xAA1AA295:Vector3; 0x8A84395B:Vector3; 0x7CF6CAF5:Vector3; 0x18CA5DC1:Vector3,
0x1A05F391,apttf::tfSpectatorEventCommandDef,0,3,False,,
0x5FAD6754,apttf::tfSwitchMaterialCommandDef,692,9,False,,
0x9F5CB8DB,apttf::tfToggleFireModeCommandDef,2,1,False,,
0xC5D98FFD,apttf::tfUiStateCommandDef,187,6,False,,
0xC59AA370,apttf::tfUiStateList,48,4,False,,
0xDFEB51BB,clientmissions::AchievementSet,5,2,False,,
0x74C90BED,clientmissions::AchievementSetLink,42,3,False,,
0x14B5C12E,clientmissions::AchievementVOUnlocks,59,3,False,,
0x42501488,clientmissions::GoldenPath,28,5,False,,
0x460587F3,clientmissions::InternalMission,63,12,False,,
0xB1B6829E,clientmissions::Mission,563,12,False,,
0xDA1EA5AA,clientmissions::MissionChain,22,2,False,,
0x38B82E69,clientmissions::MissionChains,38,3,False,,
0x31F6465F,clientmissions::MissionGiver,13,2,False,,
0xB5EFED45,clientmissions::MissionObjective,1715,7,False,,
0x87B546A4,clientmissions::MissionRewards,442,3,False,,
0xF7209497,clientmissions::MissionWaypoint,312,6,False,location:Vector3; area_polygon:Vector2Array,
0xEE755441,clientmissions::UiHints,3,3,False,,
0x04943319,dbcharacter::AbilityGroupModule,41,3,False,,
0xCA8B868C,dbcharacter::AbilityGroupPassive,86,3,False,,
0x5921B6E9,dbcharacter::BannerType,2,2,False,,
0x956E1BAC,dbcharacter::Calendar,4,4,False,,
0x090739C7,dbcharacter::CalendarSchedule,159,7,False,,
0x7422A9C3,dbcharacter::CharCreateLoadout,219,9,True,,
0x6C24CA5C,dbcharacter::CharCreateLoadoutPerks,232,3,False,,
0x29D0A17C,dbcharacter::CharCreateLoadoutSlots,2802,5,True,,
0x2FC6BCFF,dbcharacter::CharCreateLoadoutStrings,219,3,False,,
0x98275293,dbcharacter::CharInfo,123,12,True,projectile_offset:Vector3,
0x3315B19A,dbcharacter::DamageResponse,43,3,True,,
0x6AA03E63,dbcharacter::DamageResponseDamageType,287,4,True,,
0xC08504DC,dbcharacter::DamageType,39,6,True,,
0x55A562BA,dbcharacter::Deployable,3902,53,True,visual_offset:Vector3; aim_offset:Vector3; aim_direction:Vector3,
0xCDC06D4C,dbcharacter::DeployableCategory,37,3,True,,
0xD50B8936,dbcharacter::DeployableFunction,28,3,True,,
0x3DC8414D,dbcharacter::EmoteRecord,382,8,True,collision_offset:Vector3,
0x0F5311CA,dbcharacter::Faction,50,11,True,,
0xCC16274A,dbcharacter::FactionGroup,97,4,False,,
0xEF93BDC7,dbcharacter::FactionGroupMembers,146,3,False,,
0xD7767DBC,dbcharacter::FactionRelations,89,5,True,,
0x70802432,dbcharacter::FactionReputations,227,4,True,,
0x50F26C21,dbcharacter::GibVisuals,128,11,False,,
0x1073FF5F,dbcharacter::GibVisualsFxEntry,157,4,False,,
0xCD695F72,dbcharacter::GibVisualsPropEntry,96,9,False,direction_bias:Vector3,
0x18779600,dbcharacter::GliderParameters,32,33,False,,
0x660D81EE,dbcharacter::HardpointType,34,9,False,,
0x2B63AA2B,dbcharacter::HardpointTypeEntry,59,3,False,,
0x245E3D92,dbcharacter::Head,67,9,False,,
0xDC221B17,dbcharacter::HeadAccessory,72,7,False,,
0x7967A0DE,dbcharacter::HeadHeadAccessory,501,2,False,,
0x2E60BA19,dbcharacter::HitFeedbackEntry,346,9,False,,
0xA2E0BB9D,dbcharacter::HoverParameters,6,35,False,,
0x5506AA1F,dbcharacter::LoadoutRareReplacements,93,5,False,,
0xB74C0B8D,dbcharacter::MailAttachments,6,5,False,,
0xA89EF950,dbcharacter::MailMessages,25,5,False,,
0x034457FB,dbcharacter::MoneyBombBanner,1,6,False,,
0x92E91027,dbcharacter::Monster,3109,68,True,projectile_offset:Vector3,warpaint_tattoo_data:Blob; warpaint_pattern_data:Blob
0x3389159A,dbcharacter::MonsterAttributeRange,167,7,True,,
0x1ED7FE81,dbcharacter::MonsterItemTags,1032,2,False,,
0xE5EE450E,dbcharacter::MonsterMood,2268,3,False,,
0x8A82C0D6,dbcharacter::MonsterMoodName,6,2,False,,
0xB04A47D2,dbcharacter::MonsterScaling,80,3,True,,
0xA9A3427E,dbcharacter::MonsterTitle,419,3,False,,
0x113D8326,dbcharacter::MonsterVisualOption,15230,3,True,,
0x8E213641,dbcharacter::MonsterVisualOptions,153,3,True,,
0xF13D7058,dbcharacter::PoseType,48,10,True,,
0x0E6C19E7,dbcharacter::PvPRank,50,6,False,,
0xE4F7E2DA,dbcharacter::RewardScreenType,5,2,False,,
0x9DC7F12A,dbcharacter::ServiceType,4,3,False,,
0x9A437192,dbcharacter::Stumble,39,7,True,,
0x1698B57C,dbcharacter::StumbleDirection,120,7,True,direction_in:Vector2; direction_out:Vector2,
0x2877EC61,dbcharacter::StumbleFxEntry,0,3,False,,
0x9D696EC7,dbcharacter::TinyObject,379,8,True,,
0x185BF1C6,dbcharacter::Turret,107,17,True,base_offset:Vector3; camera_offset:Vector3,
0xE06B7CA9,dbcharacter::TurretWeapon,149,6,True,physical_origin:Vector3,
0x8EA547DF,dbcharacter::UiPingType,2,2,False,,
0xAA814200,dbcharacter::VoiceGroup,313,2,False,,
0x71653011,dbcharacter::VoiceSet,463,5,False,,
0x05BFCA9F,dbcharacter::XPRewardType,99,4,False,,
0x0FE4307C,dbconfig::ConsoleVariable,599,4,False,,
0x37B0D3E2,dbconfig::Keybinding,292,27,False,,
0x35D88CC2,dbdecals::DecalRecord,143,23,False,,0x3F3C5273:Blob
0xC85AF057,dbdialogdata::BattleChatterDescriptions,6,9,True,,
0x5538A1CE,dbdialogdata::BattleChatterScriptTags,1,3,False,,
0x6D9CF5FE,dbdialogdata::BattleChatterSetParams,159,5,True,,
0x3EF941D8,dbdialogdata::DialogPriority,10,4,False,,
0xC79FA24C,dbdialogdata::DialogScript,39261,15,True,,
0x8ADD0FA9,dbelitelevels::EliteLevelsBattleFrameDependenciesTable,12,3,False,,
0xA4736074,dbelitelevels::EliteLevelsBattleFrameTable,15,6,False,,
0xC7898556,dbelitelevels::EliteLevelsCertificateTable,74,6,False,,
0x6A5D0B2E,dbelitelevels::EliteLevelsItemTable,28,6,False,,
0xC10F47BD,dbelitelevels::EliteLevelsSelectionTable,253,6,False,,
0xC3BFA048,dbelitelevels::EliteLevelsTable,9,2,False,,
0xEC72E016,dbelitelevels::EliteLevelsTableEntries,1762,4,False,,
0x9EA49F8A,dbelitelevels::EliteLevelsUpgradeTable,29,11,False,,
0x03BB374F,dbencounterdata::ArcJobBoards,113,4,False,,
0xED3248C9,dbencounterdata::Arcs,799,4,False,,
0xE8776609,dbencounterdata::EncUiQuery,75,5,False,,
0x3FD69B42,dbencounterdata::EncUiQueryInput,39,5,False,,
0x6E0EBF2F,dbencounterdata::EncUiQueryOption,308,4,False,,
0xCB93BF24,dbencounterdata::EncUiQueryOutput,26,3,False,,
0xF118F10D,dbencounterdata::MapMarkerInfo,398,14,True,,
0x64CF73A1,dbencounterdata::ScalingTableEntry,155,5,False,,
0x76DC584F,dbencounterdata::SinCardFields,13555,5,False,,
0xB9629F81,dbencounterdata::SinCardTemplate,604,2,True,,
0xEA2388AE,dbfabrication::Action,503,4,False,,
0xD750EB6B,dbfabrication::ActionEffect,1290,4,False,,
0x57457702,dbfabrication::ActionGroup,279,2,False,,
0xE8BC7A97,dbfabrication::ActionGroupDistAction,791,4,False,,
0x2BCB8A5B,dbfabrication::ActionGroupDistRequirement,747,4,False,,
0xFCA8F99E,dbfabrication::ActionGroupDistSubGroup,477,5,False,,
0xFF50D3CD,dbfabrication::Ingredient,22,4,False,,
0xFC8DA892,dbfabrication::IngredientEffect,31,5,False,,
0x91B8CF2A,dbfabrication::IngredientGroup,3,3,False,,
0x0B81D81E,dbfabrication::Recipe,285,23,False,,
0xE9D0A42E,dbitems::Ability,8295,3,False,,
0xB2A517C8,dbitems::AbilityModule,30941,10,True,,
0xC666A2B6,dbitems::AbilityModuleUICategory,9,2,False,,
0x4D52AEA4,dbitems::Ammo,1264,70,True,,
0x3D9AAA08,dbitems::AttributeCategory,56,7,True,,
0xD5AE8CC6,dbitems::AttributeDefinition,1933,11,True,,
0xF41EC436,dbitems::AttributeRange,159401,7,True,,
0x0C7699E2,dbitems::Backpack,107,2,False,,
0xEC921AC8,dbitems::BackpackSlot,224,2,False,,
0x565E976A,dbitems::BackpackVisuals,273,7,False,,
0x1D4A36E3,dbitems::Battleframe,1676,42,True,,
0x45CBD25E,dbitems::BattleframeSlot,2360,2,False,,
0x232594EE,dbitems::BattleframeVisuals,2786,7,True,,
0xB20BAAF6,dbitems::Blueprint_Attribute_Map,102,3,False,,
0x1EDD8131,dbitems::Blueprint_Items,25881,4,True,,
0x5ABBE9DB,dbitems::Blueprint_OutputCert,4236,2,False,,
0xF196D8E7,dbitems::Blueprint_Resources,5509,8,False,,
0x32F7919D,dbitems::Blueprint_Types,8,2,False,,
0x20EACF6F,dbitems::Blueprints,9228,9,True,,
0x4D7436C1,dbitems::CarryableObject,105,30,True,,
0xCFB2BBAF,dbitems::Certificate,4067,10,False,,
0xBF8CEDD0,dbitems::CertificateDeliverableCertificate,63,2,False,,
0x5CF24B55,dbitems::CertificateType,11,2,False,,
0x888AE299,dbitems::FrameMassRange,13,2,False,,
0xD83F88E6,dbitems::FrameProgressionLevel,50,7,True,,
0x7EC3CB45,dbitems::ItemArrayElement,770,4,False,,
0xFAF2F11E,dbitems::ItemAttributeTransfer,429,3,False,,
0xC776755A,dbitems::ItemCertificateRequirements,37391,2,False,,
0x9C821BF9,dbitems::ItemCharacterScalars,21411,4,True,,
0xE98232FA,dbitems::ItemModule,6787,9,False,,
0xC60ECDB1,dbitems::ItemModuleScalars,11688,4,True,,
0x39AAD73D,dbitems::ItemModuleSlots,32726,3,False,,
0x6929661A,dbitems::ItemModuleType,122,3,False,,
0x1F44B701,dbitems::ItemPrestige,14,4,False,,
0xD79CD871,dbitems::ItemSet,16,3,False,,
0x29376418,dbitems::ItemSetAbilityEntries,3,4,False,,
0x55628C65,dbitems::ItemSetAttributeRangeEntries,4,6,False,,
0xBE379C5A,dbitems::ItemSetCategoryScalarEntries,2,6,False,,
0x183A546C,dbitems::ItemSetDescriptionEntries,6,4,False,,
0xA2043B75,dbitems::ItemSetStatusEffectEntries,3,4,False,,
0xBC3AAA6B,dbitems::ItemTypeAttributeModifier,6126,10,False,,
0x4E98CD25,dbitems::ItemTypeOptionalGearModuleRemapping,0,3,False,,
0x40EAA18E,dbitems::LevelBand,217,3,True,,
0x163E67D2,dbitems::LevelCategoryScalars,50,3,True,,
0x65078412,dbitems::LevelItemAttributes,50,3,True,,
0x81A7382E,dbitems::LoadoutSlot,56,8,False,,
0xCF962B1B,dbitems::LockBoxKey,6,2,False,,
0xEBC67C8B,dbitems::LootStreakEntries,29,5,False,,
0x4148F885,dbitems::LootTable,2472,10,False,,
0x90B19868,dbitems::LootTableDistRequirements,176,4,False,,
0x5873FF67,dbitems::LootTableItemDist,34159,9,False,,
0x6A0DCC59,dbitems::LootTableSubTableDist,2476,7,False,,
0x15813BCC,dbitems::ModuleType,166,2,False,,
0x7D71BD00,dbitems::MonsterSlot,209,2,False,,
0x10ED0241,dbitems::PerkCraftingModifiers,3,3,False,,
0x1D5F2397,dbitems::PerkCraftingModule,0,6,False,,
0x00EC1B69,dbitems::PerkModule,117,6,False,,
0xE61FD540,dbitems::PerkModuleFlag,4,2,False,,
